INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
346	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_346}	#{WUDAO_20220402_724}	5;5	10;10	15;15	20;20	25;25	1
347	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_347}	#{WUDAO_20220402_725}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
348	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_348}	#{WUDAO_20220402_726}	1	2	3	4	5	3
349	NhÕn Nam Phi·Phá Bích	TalentSkillTianShan2_1	Nh¸	#{WUDAO_20220402_349}	#{WUDAO_20220402_727}	4	8	12	16	20	1
350	Phòng thü kiên c¯	TalentSkillTianShan2_6	Nh¸	#{WUDAO_20220402_350}	#{WUDAO_20220402_728}	1	2	3	4	5	3
351	Ngàn d£m Sß½ng Hàn	TalentSkillTianShan2_11	Nh¸	#{WUDAO_20220402_351}	#{WUDAO_20220402_729}	12	24	36	48	60	1
352	Kinh H°ng mµt kích	TalentSkillTianShan_12	Nh¸	#{WUDAO_20220402_352}	#{WUDAO_20220402_730}	7	14	21	28	35	2
353	Mây bay nß¾c chäy lßu loát sinh ðµng	TalentSkillTianShan_3	Nh¸	#{WUDAO_20220402_353}	#{WUDAO_20220402_731}	5	10	15	20	25	3
354	Lång m÷c cánh thành tiên Ph÷c	TalentSkillTianShan2_7	Nh¸	#{WUDAO_20220402_354}	#{WUDAO_20220402_732}	4	8	12	16	20	1
355	Du NhÕn không k«m chª ðßþc	TalentSkillTianShan2_15	Nh¸	#{WUDAO_20220402_355}	#{WUDAO_20220402_733}	215	230	245	260	275	3
356	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_356}	#{WUDAO_20220402_734}	5;5	10;10	15;15	20;20	25;25	1
357	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_357}	#{WUDAO_20220402_735}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
358	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_358}	#{WUDAO_20220402_736}	1	2	3	4	5	3
359	LÕc Anh Kiªm·Tr® MÕch	TalentSkillXiaoYao_9	Nh¸	#{WUDAO_20220402_359}	#{WUDAO_20220402_737}	4	8	12	16	20	1
360	LÕc Anh Kiªm·công tâm	TalentSkillXiaoYao_9	Nh¸	#{WUDAO_20220402_360}	#{WUDAO_20220402_738}	1	2	3	4	5	3
361	Ð¸nh Phong Ba	TalentSkillXiaoYao2_14	Nh¸	#{WUDAO_20220402_361}	#{WUDAO_20220402_739}	3	6	9	12	15	1
362	Kiên ð¸nh	TalentSkillXiaoYao2_12	Nh¸	#{WUDAO_20220402_362}	#{WUDAO_20220402_740}	2	4	6	8	10	2
363	DÕ T§n Vô Minh	TalentSkillXiaoYao2_15	Nh¸	#{WUDAO_20220402_363}	#{WUDAO_20220402_741}	2	4	6	8	10	3
364	Th¯n Bµ Nan Hành	TalentSkillXiaoYao2_9	Nh¸	#{WUDAO_20220402_364}	#{WUDAO_20220402_742}	1	2	3	4	5	1
365	Kiªm Tâm Chí Minh	TalentSkillXiaoYao_3	Nh¸	#{WUDAO_20220402_365}	#{WUDAO_20220402_743}	7	14	21	28	35	3
366	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_366}	#{WUDAO_20220402_744}	4	8	12	16	20	1
367	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_367}	#{WUDAO_20220402_745}	2	4	6	8	10	2
368	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_368}	#{WUDAO_20220402_746}	6	12	18	24	30	3
369	LÕc Anh Kiªm·Tr® MÕch	TalentSkillXiaoYao_9	Nh¸	#{WUDAO_20220402_369}	#{WUDAO_20220402_747}	4	8	12	16	20	1
370	Phòng thü kiên c¯	TalentSkillXiaoYao2_8	Nh¸	#{WUDAO_20220402_370}	#{WUDAO_20220402_748}	1	2	3	4	5	3
371	Ði¬m thông minh s¡c xäo	TalentSkillXiaoYao2_14	Nh¸	#{WUDAO_20220402_371}	#{WUDAO_20220402_749}	12	24	36	48	60	1
372	Toái Ng÷c Nghiên Châu	TalentSkillXiaoYao2_12	Nh¸	#{WUDAO_20220402_372}	#{WUDAO_20220402_750}	2	4	6	8	10	2
373	Nh¤t Ni®m Thông Th¥n	TalentSkillXiaoYao2_2	Nh¸	#{WUDAO_20220402_373}	#{WUDAO_20220402_751}	5	10	15	20	25	3
374	Thôi Phong Ðäo Læ	TalentSkillXiaoYao2_9	Nh¸	#{WUDAO_20220402_374}	#{WUDAO_20220402_752}	4	8	12	16	20	1
375	B¢ng Vân Cán Nguy®t	TalentSkillXiaoYao2_13	Nh¸	#{WUDAO_20220402_375}	#{WUDAO_20220402_753}	2	4	6	8	10	3
376	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_376}	#{WUDAO_20220402_754}	4	8	12	16	20	1
377	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_377}	#{WUDAO_20220402_755}	2	4	6	8	10	2
378	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_378}	#{WUDAO_20220402_756}	6	12	18	24	30	3
379	Huy«n Ca B¤t Chuyªt	TalentSkillManTuo_7	Mµt	#{WUDAO_20220402_757}	#{WUDAO_20220402_799}	5;5;1					1
380	Dß âm·th¥n uy	TalentSkillManTuo2_12	Mµt	#{WUDAO_20220402_758}	#{WUDAO_20220402_800}	20	40	60	80	100	1
381	Chu Huy«n Thán	TalentSkillManTuo2_9	Mµt	#{WUDAO_20220402_759}	#{WUDAO_20220402_801}	6	12	18	24	30	3
382	M¸ch tri âm	TalentSkillManTuo_13	Mµt	#{WUDAO_20220402_760}	#{WUDAO_20220402_802}	2	4	6	8	10	1
383	T¡c HÕ Khúc	TalentSkillManTuo2_11	Mµt	#{WUDAO_20220402_761}	#{WUDAO_20220402_803}	2	4	6	8	10	2
384	Xuân Nê Hµ Hoa	TalentSkillManTuo2_4	Mµt	#{WUDAO_20220402_762}	#{WUDAO_20220402_804}	10	20	30	40	50	3
385	Thù Khúc Vßu Tøc	TalentSkillManTuo2_13	Mµt	#{WUDAO_20220402_763}	#{WUDAO_20220402_805}	2	4	6	8	10	1
386	Khúc ÐoÕn kh± tâm	TalentSkillManTuo2_15	Mµt	#{WUDAO_20220402_764}	#{WUDAO_20220402_806}	8	16	24	32	40	3
387	Tuy®t Ði®u Tr¤n H°n	TalentSkillManTuo_13	Mµt	#{WUDAO_20220402_765}	#{WUDAO_20220402_807}	4	8	12	16	20	1
388	Lãnh Lµ không tiªng ðµng	TalentSkillManTuo2_1	Mµt	#{WUDAO_20220402_766}	#{WUDAO_20220402_808}	10	20	30	40	50	2
389	Bi Âm B¤t Cµng	TalentSkillManTuo_10	Mµt	#{WUDAO_20220402_767}	#{WUDAO_20220402_809}	55	60	65	70	75	3
390	Thi«u quang Chiªu Dã	TalentSkillManTuo_4	Mµt	#{WUDAO_20220402_768}	#{WUDAO_20220402_810}	7;15;15;4					1
391	Dß âm·th¥n uy	TalentSkillManTuo2_12	Mµt	#{WUDAO_20220402_769}	#{WUDAO_20220402_811}	20	40	60	80	100	1
392	Gió B¡c S¥u Sát	TalentSkillManTuo_11	Mµt	#{WUDAO_20220402_770}	#{WUDAO_20220402_812}	3	6	9	12	15	3
393	Mùa xuân Xß¾ng Biªn	TalentSkillManTuo2_5	Mµt	#{WUDAO_20220402_771}	#{WUDAO_20220402_813}	80	160	240	320	400	1
394	S¤u T§n hoa ðèn	TalentSkillManTuo2_16	Mµt	#{WUDAO_20220402_772}	#{WUDAO_20220402_814}	2	4	6	8	10	2
395	Cänh xuân hæu hÕn	TalentSkillManTuo2_10	Mµt	#{WUDAO_20220402_773}	#{WUDAO_20220402_815}	1	2	3	4	5	3
396	MÕc Phø sáng nay	TalentSkillManTuo_15	Mµt	#{WUDAO_20220402_774}	#{WUDAO_20220402_816}	5	10	15	20	25	1
397	Phong C± QuÏnh Lâm	TalentSkillManTuo_9	Mµt	#{WUDAO_20220402_775}	#{WUDAO_20220402_817}	20	40	60	80	100	3
398	Tâm Phó Dao C¥m	TalentSkillManTuo_12	Mµt	#{WUDAO_20220402_776}	#{WUDAO_20220402_818}	5	10	15	20	25	1
399	C¤p Trúc Ph°n Ti	TalentSkillManTuo2_2	Mµt	#{WUDAO_20220402_777}	#{WUDAO_20220402_819}	3	6	9	12	15	2
400	T§n T¤u Thanh Thß½ng	TalentSkillManTuo2_3	Mµt	#{WUDAO_20220402_778}	#{WUDAO_20220402_820}	0.8	1.6	2.4	3.2	4	3
401	Dß âm·Tr® MÕch	TalentSkillManTuo2_12	Nh¸	#{WUDAO_20220402_779}	#{WUDAO_20220402_821}	4	8	12	16	20	1
402	Dß âm·công tâm	TalentSkillManTuo2_12	Nh¸	#{WUDAO_20220402_780}	#{WUDAO_20220402_822}	1	2	3	4	5	3
403	Tr¥n Khúc Hßu	TalentSkillManTuo_16	Nh¸	#{WUDAO_20220402_781}	#{WUDAO_20220402_823}	3	6	9	12	15	1
404	Khúc Ch¤n Lâm Vi®t	TalentSkillManTuo_13	Nh¸	#{WUDAO_20220402_782}	#{WUDAO_20220402_824}	2	4	6	8	10	2
405	Ngû âm Mê Chß¾ng	TalentSkillManTuo2_6	Nh¸	#{WUDAO_20220402_783}	#{WUDAO_20220402_825}	2	4	6	8	10	3
406	Cô Thanh Lßu Khách	TalentSkillManTuo2_14	Nh¸	#{WUDAO_20220402_784}	#{WUDAO_20220402_826}	1	2	3	4	5	1
407	Huy«n T¯ng Hàn Âm	TalentSkillManTuo2_7	Nh¸	#{WUDAO_20220402_785}	#{WUDAO_20220402_827}	6	12	18	24	30	3
408	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_786}	#{WUDAO_20220402_828}	4	8	12	16	20	1
409	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_787}	#{WUDAO_20220402_829}	2	4	6	8	10	2
410	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_788}	#{WUDAO_20220402_830}	6	12	18	24	30	3
411	Dß âm·Tr® MÕch	TalentSkillManTuo2_12	Nh¸	#{WUDAO_20220402_789}	#{WUDAO_20220402_831}	4	8	12	16	20	1
412	Phòng thü kiên c¯	TalentSkillManTuo_8	Nh¸	#{WUDAO_20220402_790}	#{WUDAO_20220402_832}	1	2	3	4	5	3
413	Xuân hàn T¸ch	TalentSkillManTuo_16	Nh¸	#{WUDAO_20220402_791}	#{WUDAO_20220402_833}	12	24	36	48	60	1
414	Dùng th½ vån ð¬ giäi toä n²i bu°n	TalentSkillManTuo_13	Nh¸	#{WUDAO_20220402_792}	#{WUDAO_20220402_834}	7	14	21	28	35	2
415	Ch¤n Y Thiên Phong	TalentSkillManTuo2_8	Nh¸	#{WUDAO_20220402_793}	#{WUDAO_20220402_835}	10	20	30	40	50	3
416	Lßu Vân B¤t Chuy¬n	TalentSkillManTuo2_14	Nh¸	#{WUDAO_20220402_794}	#{WUDAO_20220402_836}	4	8	12	16	20	1
417	Vào tr§n Khúc	TalentSkillManTuo_14	Nh¸	#{WUDAO_20220402_795}	#{WUDAO_20220402_837}	10	20	30	40	50	3
418	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_796}	#{WUDAO_20220402_838}	4	8	12	16	20	1
419	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_797}	#{WUDAO_20220402_839}	2	4	6	8	10	2
420	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_798}	#{WUDAO_20220402_840}	6	12	18	24	30	3
421	Ðß¶ng l¾n ph§t quang	TalentSkillShaoLin3_4	Tam	#{WUDAO_20230613_01}	#{WUDAO_20230613_201}	2.1	2.2	2.3	2.4	2.5	1
422	Phá Nghi®t Hoá Già	TalentSkillShaoLin3_6	Tam	#{WUDAO_20230613_02}	#{WUDAO_20230613_202}	0.3	0.6	0.9	1.2	1.5	3
423	TÑ tß¾ng Hoá Vô	TalentSkillShaoLin_12	Tam	#{WUDAO_20230613_03}	#{WUDAO_20230613_203}	3	6	9	12	15	1
424	Cây ph§t thü hoa sen	TalentSkillShaoLin3_5	Tam	#{WUDAO_20230613_04}	#{WUDAO_20230613_204}	2	4	6	8	10	2
425	Höi Thi«n Tông	TalentSkillShaoLin3_7	Tam	#{WUDAO_20230613_05}	#{WUDAO_20230613_205}	1.5	3	4.5	6	7.5	3
426	Kim cß½ng cøt tay	TalentSkillShaoLin3_8	Tam	#{WUDAO_20230613_06}	#{WUDAO_20230613_206}	4	8	12	16	20	1
427	Nh§p ð¸nh La Hán	TalentSkillShaoLin3_11	Tam	#{WUDAO_20230613_07}	#{WUDAO_20230613_207}	0.6	1.2	1.8	2.4	3	3
428	Ð¸a Ngøc Vô Ma	TalentSkillShaoLin3_4	Tam	#{WUDAO_20230613_08}	#{WUDAO_20230613_208}	15	30	45	60	75	1
429	Nh¤t Ni®m Kh·i	TalentSkillShaoLin3_9	Tam	#{WUDAO_20230613_09}	#{WUDAO_20230613_209}	48;4	46;8	44;12	42;16	40;20	2
430	Càn Khôn Hæu Tß	TalentSkillShaoLin_14	Tam	#{WUDAO_20230613_10}	#{WUDAO_20230613_210}	20	40	60	80	100	3
431	Th§p-ð¸a ÐÕi Th×a	TalentSkillShaoLin3_15	Tam	#{WUDAO_20230613_11}	#{WUDAO_20230613_211}	29	28	27	26	25	1
432	KhÑ ðªn t× TÕi	TalentSkillShaoLin3_14	Tam	#{WUDAO_20230613_12}	#{WUDAO_20230613_212}	6	7	8	9	10	3
433	Ngu Giä Hành Tu®	TalentSkillShaoLin3_11	Tam	#{WUDAO_20230613_13}	#{WUDAO_20230613_213}	0.2	0.4	0.6	0.8	1	1
434	Kim cß½ng Dø Ð¸nh	TalentSkillShaoLin3_16	Tam	#{WUDAO_20230613_14}	#{WUDAO_20230613_214}	10	20	30	40	50	2
435	Tham C¥u Hæu Ngµ	TalentSkillShaoLin4_1	Tam	#{WUDAO_20230613_15}	#{WUDAO_20230613_215}	0.2	0.4	0.6	0.8	1	3
436	Vô lßþng Kiªp	TalentSkillShaoLin3_12	Tam	#{WUDAO_20230613_16}	#{WUDAO_20230613_216}	10	20	30	40	50	1
437	T× Tâm Ðµ Hoá	TalentSkillShaoLin3_13	Tam	#{WUDAO_20230613_17}	#{WUDAO_20230613_217}	10	20	30	40	50	3
438	Chúng sinh Giai Kh±	TalentSkillShaoLin3_10	Tam	#{WUDAO_20230613_18}	#{WUDAO_20230613_218}	52;2	54;4	56;6	58;8	60;10	1
439	Tâm Sinh sáu ðÕo	TalentSkillShaoLin4_2	Tam	#{WUDAO_20230613_19}	#{WUDAO_20230613_219}	8	16	24	32	40	2
440	Ngã ph§t t× bi	TalentSkillShaoLin4_3	Tam	#{WUDAO_20230613_20}	#{WUDAO_20230613_220}	8	16	24	32	40	3
441	Sinh tØ Ð°ng Ð°	TalentSkillMingJiao3_2	Tam	#{WUDAO_20230613_21}	#{WUDAO_20230613_221}	7.6;0.8	8.2;1.6	8.8;2.4	9.4;3.2	10;4	1
442	Khí thª Nhß H°ng	TalentSkillMingJiao3_8	Tam	#{WUDAO_20230613_22}	#{WUDAO_20230613_222}	1	2	3	4	5	3
443	Chiªn höa Chß¾c Dã	TalentSkillMingJiao3_3	Tam	#{WUDAO_20230613_23}	#{WUDAO_20230613_223}	3	6	9	12	15	1
444	Khung Phong Truy Di®m	TalentSkillMingJiao3_6	Tam	#{WUDAO_20230613_24}	#{WUDAO_20230613_224}	10	20	30	40	50	2
445	Ðao Ý Hoành Thu	TalentSkillMingJiao3_9	Tam	#{WUDAO_20230613_25}	#{WUDAO_20230613_225}	12	24	36	48	60	3
446	Møc Nhß Ðình Liêu	TalentSkillMingJiao3_4	Tam	#{WUDAO_20230613_26}	#{WUDAO_20230613_226}	20	40	60	80	100	1
447	Li®t Hoä Ph¥n Tâm	TalentSkillMingJiao3_10	Tam	#{WUDAO_20230613_27}	#{WUDAO_20230613_227}	40;6	80;12	120;18	160;24	200;30	3
448	Quân tiên phong S· Hß¾ng	TalentSkillMingJiao3_5	Tam	#{WUDAO_20230613_28}	#{WUDAO_20230613_228}	3;3	6;6	9;9	12;12	15;15	1
449	Dß½ng Di®m Trß¶ng Nhiên	TalentSkillMingJiao3_7	Tam	#{WUDAO_20230613_29}	#{WUDAO_20230613_229}	10	20	30	40	50	2
450	Sí Nhçn Phá Giáp	TalentSkillMingJiao3_5	Tam	#{WUDAO_20230613_30}	#{WUDAO_20230613_230}	1	2	3	4	5	3
451	Ðông S½n Tái Kh·i	TalentSkillMingJiao3_11	Tam	#{WUDAO_20230613_31}	#{WUDAO_20230613_231}	0.4	0.8	1.2	1.6	2	1
452	Long Tiªu kinh thiên	TalentSkillMingJiao_5	Tam	#{WUDAO_20230613_32}	#{WUDAO_20230613_232}	6	12	18	24	30	3
453	R°ng nß¾c Ph÷c	TalentSkillMingJiao3_12	Tam	#{WUDAO_20230613_33}	#{WUDAO_20230613_233}	0.6	1.2	1.8	2.4	3	1
454	HÕc TrÕch Nhi Suy	TalentSkillMingJiao3_15	Tam	#{WUDAO_20230613_34}	#{WUDAO_20230613_234}	2	4	6	8	10	2
455	T¥n Di®t bát phß½ng	TalentSkillMingJiao4_1	Tam	#{WUDAO_20230613_35}	#{WUDAO_20230613_235}	6	7	8	9	10	3
456	Huy hoàng Di®m Minh	TalentSkillMingJiao3_4	Tam	#{WUDAO_20230613_36}	#{WUDAO_20230613_236}	1	2	3	5	8	1
457	Nghi®p Höa Trùng Nhiên	TalentSkillMingJiao4_2	Tam	#{WUDAO_20230613_37}	#{WUDAO_20230613_237}	5	10	15	20	25	3
458	Träm Phá Càn Khôn	TalentSkillMingJiao3_14	Tam	#{WUDAO_20230613_38}	#{WUDAO_20230613_238}	8	16	24	32	40	1
459	Mãnh Hoä phá tr§n	TalentSkillMingJiao3_16	Tam	#{WUDAO_20230613_39}	#{WUDAO_20230613_239}	3	6	9	12	15	2
460	Lßu HuÏnh Nan Ph÷c	TalentSkillMingJiao3_5	Tam	#{WUDAO_20230613_40}	#{WUDAO_20230613_240}	10	20	30	40	50	3
461	Liên S½n Tuy®t M®nh	TalentSkillGaiBang2_15	Tam	#{WUDAO_20230613_41}	#{WUDAO_20230613_241}	1	2	3	4	5	1
462	Thß½ng Long Tuý Ý	TalentSkillGaiBang_7	Tam	#{WUDAO_20230613_42}	#{WUDAO_20230613_242}	1	2	3	4	5	3
463	Phong Träm Lâu Lan	TalentSkillGaiBang2_10	Tam	#{WUDAO_20230613_43}	#{WUDAO_20230613_243}	8	16	24	32	40	1
464	Rßþu ðøc Chï Qua	TalentSkillGaiBang3_3	Tam	#{WUDAO_20230613_44}	#{WUDAO_20230613_244}	2.2	2.4	2.6	2.8	3	2
465	Mßa rào Tài Quang	TalentSkillGaiBang2_14	Tam	#{WUDAO_20230613_45}	#{WUDAO_20230613_245}	8	16	24	32	40	3
466	Mµ Cänh Tß¾ng T§n	TalentSkillGaiBang3_1	Tam	#{WUDAO_20230613_46}	#{WUDAO_20230613_246}	3	6	9	12	15	1
467	U¯ng tràn Phøc Long	TalentSkillGaiBang3_4	Tam	#{WUDAO_20230613_47}	#{WUDAO_20230613_247}	4;8;12	8;16;24	12;24;36	16;32;48	20;40;60	3
468	Hàn S½n Tam Ði®p	TalentSkillGaiBang3_2	Tam	#{WUDAO_20230613_48}	#{WUDAO_20230613_248}	10	20	30	40	50	1
469	Lçm Bång Nh§p H¥u	TalentSkillGaiBang3_2	Tam	#{WUDAO_20230613_49}	#{WUDAO_20230613_249}	7	14	21	28	35	2
470	Sß½ng Long †m Tuyªt	TalentSkillGaiBang3_5	Tam	#{WUDAO_20230613_50}	#{WUDAO_20230613_250}	8	16	24	32	40	3
471	VÕn kiªp Phi Änh	TalentSkillGaiBang3_6	Tam	#{WUDAO_20230613_51}	#{WUDAO_20230613_251}	2	4	6	8	10	1
472	M£c Tinh Li­m Nguy®t	TalentSkillGaiBang3_8	Tam	#{WUDAO_20230613_52}	#{WUDAO_20230613_252}	0.5	1	1.5	2	2.5	3
473	Vû Hoan quang âm	TalentSkillGaiBang2_14	Tam	#{WUDAO_20230613_53}	#{WUDAO_20230613_253}	20	40	60	80	100	1
474	Møc Di¬u Âm Tiêu	TalentSkillGaiBang3_7	Tam	#{WUDAO_20230613_54}	#{WUDAO_20230613_254}	5	10	15	20	25	2
475	Càn Khôn khoänh kh¡c	TalentSkillGaiBang3_9	Tam	#{WUDAO_20230613_55}	#{WUDAO_20230613_255}	3	6	9	12	15	3
476	Cu°ng phong Trøc Vû	TalentSkillGaiBang_10	Tam	#{WUDAO_20230613_56}	#{WUDAO_20230613_256}	3	6	9	12	15	1
477	Gió tây Trì Tiªu	TalentSkillGaiBang_12	Tam	#{WUDAO_20230613_57}	#{WUDAO_20230613_257}	3.5	4	4.5	5	6	3
478	Giang Häi Ðình Châu	TalentSkillGaiBang2_12	Tam	#{WUDAO_20230613_58}	#{WUDAO_20230613_258}	9;0.4	10;0.8	11;1.2	12;1.6	13;2	1
479	Thiên Thø ðiêu linh	TalentSkillGaiBang_12	Tam	#{WUDAO_20230613_59}	#{WUDAO_20230613_259}	1	2	3	4	5	2
480	Lßþc Änh Phù Quang	TalentSkillGaiBang_1	Tam	#{WUDAO_20230613_60}	#{WUDAO_20230613_260}	3	6	9	12	15	3
481	Kiªm khí tung hoành	TalentSkillWuDang3_1	Tam	#{WUDAO_20230613_61}	#{WUDAO_20230613_261}	8	16	24	32	40	1
482	Qui khÑ lai h«	TalentSkillWuDang3_7	Tam	#{WUDAO_20230613_62}	#{WUDAO_20230613_262}	2	4	6	8	10	3
483	ÐÕo hoá sinh Nguyên	TalentSkillWuDang3_2	Tam	#{WUDAO_20230613_63}	#{WUDAO_20230613_263}	15	30	45	60	75	1
484	Phong S§u Kiªm Minh	TalentSkillWuDang3_5	Tam	#{WUDAO_20230613_64}	#{WUDAO_20230613_264}	2.7	2.4	2.1	1.8	1.5	2
485	C¯ B±n quy nguyên	TalentSkillWuDang3_8	Tam	#{WUDAO_20230613_65}	#{WUDAO_20230613_265}	1	2	4	6	8	3
486	Thª nhß chë tre	TalentSkillWuDang3_3	Tam	#{WUDAO_20230613_66}	#{WUDAO_20230613_266}	5	10	15	20	25	1
487	Ng÷c Thúc Lång Hàn	TalentSkillWuDang3_9	Tam	#{WUDAO_20230613_67}	#{WUDAO_20230613_267}	2	4	6	8	10	3
488	ÐoÕn Không Träm Nguy®t	TalentSkillWuDang3_4	Tam	#{WUDAO_20230613_68}	#{WUDAO_20230613_268}	2	4	6	8	10	1
489	Th¯n Th¯n Trác	TalentSkillWuDang3_6	Tam	#{WUDAO_20230613_69}	#{WUDAO_20230613_269}	0.2	0.4	0.6	0.8	1	2
490	Kiªm Ý lßu chuy¬n	TalentSkillWuDang2_13	Tam	#{WUDAO_20230613_70}	#{WUDAO_20230613_270}	4	8	12	16	20	3
491	Phong S§u Kiªm Minh	TalentSkillWuDang3_5	Tam	#{WUDAO_20230613_71}	#{WUDAO_20230613_271}	2.7	2.4	2.1	1.8	1.5	1
492	Minh Tâm Kiªn ÐÕo	TalentSkillWuDang3_15	Tam	#{WUDAO_20230613_72}	#{WUDAO_20230613_272}	20	40	60	80	100	3
493	Long tr¶i l· ð¤t	TalentSkillWuDang_10	Tam	#{WUDAO_20230613_73}	#{WUDAO_20230613_273}	7	14	21	28	35	1
494	Hàn Tri«n Phá	TalentSkillWuDang3_13	Tam	#{WUDAO_20230613_74}	#{WUDAO_20230613_274}	1	2	3	4	5	2
495	Bµc lµ tài nång	TalentSkillWuDang_12	Tam	#{WUDAO_20230613_75}	#{WUDAO_20230613_275}	1	2	3	4	5	3
496	Sß½ng Nhçn Toái Không	TalentSkillWuDang3_11	Tam	#{WUDAO_20230613_76}	#{WUDAO_20230613_276}	1	2	4	6	8	1
497	Kiªm Phá tr¶i cao	TalentSkillWuDang_12	Tam	#{WUDAO_20230613_77}	#{WUDAO_20230613_277}	4000	8000	12000	16000	20000	3
498	C¤m Ðµng v¸ trí	TalentSkillWuDang3_12	Tam	#{WUDAO_20230613_78}	#{WUDAO_20230613_278}	0.2	0.4	0.6	0.8	1	1
499	HÕc Ð« tr¶i cao	TalentSkillWuDang3_14	Tam	#{WUDAO_20230613_79}	#{WUDAO_20230613_279}	8	16	24	32	40	2
500	V¡ng l£ng M£c Täi	TalentSkillWuDang3_16	Tam	#{WUDAO_20230613_80}	#{WUDAO_20230613_280}	3.1	3.2	3.3	3.4	3.5	3
501	Nh§t nguy®t Ð°ng Huy	TalentSkillEmei_4	Tam	#{WUDAO_20230613_81}	#{WUDAO_20230613_281}	0.6	1.2	1.8	2.4	3	1
502	Kinh Thß¾c Hiªn Phß½ng	TalentSkillEmei_4	Tam	#{WUDAO_20230613_82}	#{WUDAO_20230613_282}	0.4	0.8	1.2	1.6	2	3
503	Thß Tiêu Tàn Sß½ng	TalentSkillEmei3_2	Tam	#{WUDAO_20230613_83}	#{WUDAO_20230613_283}	9	8	7	6	5	1
504	Ba nghìn tình ý	TalentSkillEmei3_4	Tam	#{WUDAO_20230613_84}	#{WUDAO_20230613_284}	12	14	16	18	20	2
505	Thiên ð¸a góc	TalentSkillEmei_10	Tam	#{WUDAO_20230613_85}	#{WUDAO_20230613_285}	2	4	6	8	10	3
506	PhÕn Âm Ðµ Thª	TalentSkillEmei3_3	Tam	#{WUDAO_20230613_86}	#{WUDAO_20230613_286}	1	2	3	4	5	1
507	Hoa mai Th¤u	TalentSkillEmei3_5	Tam	#{WUDAO_20230613_87}	#{WUDAO_20230613_287}	10	20	30	40	50	3
508	Thanh liêm	TalentSkillEmei3_3	Tam	#{WUDAO_20230613_88}	#{WUDAO_20230613_288}	2	4	6	8	10	1
509	Thanh Ðång bÑc tß¶ng	TalentSkillEmei_12	Tam	#{WUDAO_20230613_89}	#{WUDAO_20230613_289}	6	5	4	3.5	3	2
510	Thu Hoa Xuân Giäi	TalentSkillEmei3_6	Tam	#{WUDAO_20230613_90}	#{WUDAO_20230613_290}	8	16	24	32	40	3
511	Canh ba Tuyªt	TalentSkillEmei3_7	Tam	#{WUDAO_20230613_91}	#{WUDAO_20230613_291}	2	4	6	8	10	1
512	ÐoÕn C¯t Liên Cân	TalentSkillEmei2_2	Tam	#{WUDAO_20230613_92}	#{WUDAO_20230613_292}	1.8	1.6	1.4	1.2	1	3
513	Táng Hoa chúc tªt	TalentSkillEmei3_8	Tam	#{WUDAO_20230613_93}	#{WUDAO_20230613_293}	1	2	3	4	5	1
514	V÷ng Kiªn Ph± Hi«n	TalentSkillEmei3_10	Tam	#{WUDAO_20230613_94}	#{WUDAO_20230613_294}	2	4	6	8	10	2
515	Lßþng Tình Chiêu	TalentSkillEmei3_12	Tam	#{WUDAO_20230613_95}	#{WUDAO_20230613_295}	4	8	12	16	20	3
516	Nguy®t Doanh Tây Lâu	TalentSkillEmei_13	Tam	#{WUDAO_20230613_96}	#{WUDAO_20230613_296}	1	2	3	4	5	1
517	Vân Khai Kiªn Nh§t	TalentSkillEmei_8	Tam	#{WUDAO_20230613_97}	#{WUDAO_20230613_297}	2.7	2.4	2.1	1.8	1.5	3
518	Tình Trái Truy	TalentSkillEmei3_9	Tam	#{WUDAO_20230613_98}	#{WUDAO_20230613_298}	20	40	60	80	100	1
