INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
612	Liêu Tây Tây B¡c	100025	99	54	ÐÕi Lý	2	181	120	1	0	0
613	Võ Di Chính Tây	100026	99	54	ÐÕi Lý	2	181	120	1	0	0
614	Mai Lînh Tây B¡c	100027	99	54	ÐÕi Lý	2	181	120	1	0	0
615	ThÕch Lâm Chính Nam	100028	99	54	ÐÕi Lý	2	181	120	1	0	0
616	Ng÷c Khê Tây Nam	100029	99	54	ÐÕi Lý	2	181	120	1	0	0
617	Trß¶ng BÕch S½n Tây B¡c	100030	99	54	ÐÕi Lý	2	181	120	1	0	0
618	Hoàng Long Phü Tây B¡c	100031	99	54	ÐÕi Lý	2	181	120	1	0	0
619	Nam Häi Chính B¡c	100032	99	54	ÐÕi Lý	2	181	120	1	0	0
620	QuÏnh Châu Chính Tây	100033	99	54	ÐÕi Lý	2	181	120	1	0	0
621	Nam Chiªu Tây Nam	100034	99	54	ÐÕi Lý	2	181	120	1	0	0
622	Miêu Cß½ng Chính Ðông	100035	99	54	ÐÕi Lý	2	181	120	1	0	0
623	NhÕn Nam Chính Nam	100036	99	54	ÐÕi Lý	2	181	120	1	0	0
624	NhÕn B¡c Chính Tây	100037	99	54	ÐÕi Lý	2	181	120	1	0	0
625	Tây H° Chính Tây	100038	99	54	ÐÕi Lý	2	181	120	1	0	0
626	Long Tuy«n Chính B¡c	100039	99	54	ÐÕi Lý	2	181	120	1	0	0
627	Thß½ng S½n Chính Tây	100040	99	54	ÐÕi Lý	2	181	120	1	0	0
628	Nh¸ Häi Chính Tây	100041	99	54	ÐÕi Lý	2	181	120	1	0	0
629	Thäo Nguyên Chính Tây	100042	99	54	ÐÕi Lý	2	181	120	1	0	0
630	Liêu Tây Tây B¡c	100043	99	54	ÐÕi Lý	2	181	120	1	0	0
631	Võ Di Chính Tây	100044	99	54	ÐÕi Lý	2	181	120	1	0	0
632	Mai Lînh Tây B¡c	100045	99	54	ÐÕi Lý	2	181	120	1	0	0
633	ThÕch Lâm Chính Nam	100046	99	54	ÐÕi Lý	2	181	120	1	0	0
634	Ng÷c Khê Tây Nam	100047	99	54	ÐÕi Lý	2	181	120	1	0	0
635	Trß¶ng BÕch S½n Tây B¡c	100048	99	54	ÐÕi Lý	2	181	120	1	0	0
636	Hoàng Long Phü Tây B¡c	100049	99	54	ÐÕi Lý	2	181	120	1	0	0
637	Nam Häi Chính B¡c	100050	99	54	ÐÕi Lý	2	181	120	1	0	0
638	QuÏnh Châu Chính Tây	100051	99	54	ÐÕi Lý	2	181	120	1	0	0
639	Nam Chiªu Tây Nam	100052	99	54	ÐÕi Lý	2	181	120	1	0	0
640	Miêu Cß½ng Chính Ðông	100053	99	54	ÐÕi Lý	2	181	120	1	0	0
641	NhÕn Nam Chính Nam	100000	99	54	LÕc Dß½ng	0	144	98	1	0	0
642	NhÕn B¡c Chính Tây	100001	99	54	LÕc Dß½ng	0	144	98	1	0	0
643	Tây H° Chính Tây	100002	99	54	LÕc Dß½ng	0	144	98	1	0	0
644	Long Tuy«n Chính B¡c	100003	99	54	LÕc Dß½ng	0	144	98	1	0	0
645	Thß½ng S½n Chính Tây	100004	99	54	LÕc Dß½ng	0	144	98	1	0	0
646	Nh¸ Häi Chính Tây	100005	99	54	LÕc Dß½ng	0	144	98	1	0	0
647	Thäo Nguyên Chính Tây	100006	99	54	LÕc Dß½ng	0	144	98	1	0	0
648	Liêu Tây Tây B¡c	100007	99	54	LÕc Dß½ng	0	144	98	1	0	0
649	Võ Di Chính Tây	100008	99	54	LÕc Dß½ng	0	144	98	1	0	0
650	Mai Lînh Tây B¡c	100009	99	54	LÕc Dß½ng	0	144	98	1	0	0
651	ThÕch Lâm Chính Nam	100010	99	54	LÕc Dß½ng	0	144	98	1	0	0
652	Ng÷c Khê Tây Nam	100011	99	54	LÕc Dß½ng	0	144	98	1	0	0
653	Trß¶ng BÕch S½n Tây B¡c	100012	99	54	LÕc Dß½ng	0	144	98	1	0	0
654	Hoàng Long Phü Tây B¡c	100013	99	54	LÕc Dß½ng	0	144	98	1	0	0
655	Nam Häi Chính B¡c	100014	99	54	LÕc Dß½ng	0	144	98	1	0	0
656	QuÏnh Châu Chính Tây	100015	99	54	LÕc Dß½ng	0	144	98	1	0	0
657	Nam Chiªu Tây Nam	100016	99	54	LÕc Dß½ng	0	144	98	1	0	0
658	Miêu Cß½ng Chính Ðông	100017	99	54	LÕc Dß½ng	0	144	98	1	0	0
659	NhÕn Nam Chính Nam	100018	99	54	LÕc Dß½ng	0	144	98	1	0	0
660	NhÕn B¡c Chính Tây	100019	99	54	LÕc Dß½ng	0	144	98	1	0	0
661	Tây H° Chính Tây	100020	99	54	LÕc Dß½ng	0	144	98	1	0	0
662	Long Tuy«n Chính B¡c	100021	99	54	LÕc Dß½ng	0	144	98	1	0	0
663	Thß½ng S½n Chính Tây	100022	99	54	LÕc Dß½ng	0	144	98	1	0	0
664	Nh¸ Häi Chính Tây	100023	99	54	LÕc Dß½ng	0	144	98	1	0	0
665	Thäo Nguyên Chính Tây	100024	99	54	LÕc Dß½ng	0	144	98	1	0	0
666	Liêu Tây Tây B¡c	100025	99	54	LÕc Dß½ng	0	144	98	1	0	0
667	Võ Di Chính Tây	100026	99	54	LÕc Dß½ng	0	144	98	1	0	0
668	Mai Lînh Tây B¡c	100027	99	54	LÕc Dß½ng	0	144	98	1	0	0
669	ThÕch Lâm Chính Nam	100028	99	54	LÕc Dß½ng	0	144	98	1	0	0
670	Ng÷c Khê Tây Nam	100029	99	54	LÕc Dß½ng	0	144	98	1	0	0
671	Trß¶ng BÕch S½n Tây B¡c	100030	99	54	LÕc Dß½ng	0	144	98	1	0	0
672	Hoàng Long Phü Tây B¡c	100031	99	54	LÕc Dß½ng	0	144	98	1	0	0
673	Nam Häi Chính B¡c	100032	99	54	LÕc Dß½ng	0	144	98	1	0	0
674	QuÏnh Châu Chính Tây	100033	99	54	LÕc Dß½ng	0	144	98	1	0	0
675	Nam Chiªu Tây Nam	100034	99	54	LÕc Dß½ng	0	144	98	1	0	0
676	Miêu Cß½ng Chính Ðông	100035	99	54	LÕc Dß½ng	0	144	98	1	0	0
677	NhÕn Nam Chính Nam	100036	99	54	LÕc Dß½ng	0	144	98	1	0	0
678	NhÕn B¡c Chính Tây	100037	99	54	LÕc Dß½ng	0	144	98	1	0	0
679	Tây H° Chính Tây	100038	99	54	LÕc Dß½ng	0	144	98	1	0	0
680	Long Tuy«n Chính B¡c	100039	99	54	LÕc Dß½ng	0	144	98	1	0	0
681	Thß½ng S½n Chính Tây	100040	99	54	LÕc Dß½ng	0	144	98	1	0	0
682	Nh¸ Häi Chính Tây	100041	99	54	LÕc Dß½ng	0	144	98	1	0	0
683	Thäo Nguyên Chính Tây	100042	99	54	LÕc Dß½ng	0	144	98	1	0	0
684	Liêu Tây Tây B¡c	100043	99	54	LÕc Dß½ng	0	144	98	1	0	0
685	Võ Di Chính Tây	100044	99	54	LÕc Dß½ng	0	144	98	1	0	0
686	Mai Lînh Tây B¡c	100045	99	54	LÕc Dß½ng	0	144	98	1	0	0
687	ThÕch Lâm Chính Nam	100046	99	54	LÕc Dß½ng	0	144	98	1	0	0
688	Ng÷c Khê Tây Nam	100047	99	54	LÕc Dß½ng	0	144	98	1	0	0
689	Trß¶ng BÕch S½n Tây B¡c	100048	99	54	LÕc Dß½ng	0	144	98	1	0	0
690	Hoàng Long Phü Tây B¡c	100049	99	54	LÕc Dß½ng	0	144	98	1	0	0
691	Nam Häi Chính B¡c	100050	99	54	LÕc Dß½ng	0	144	98	1	0	0
692	QuÏnh Châu Chính Tây	100051	99	54	LÕc Dß½ng	0	144	98	1	0	0
693	Nam Chiªu Tây Nam	100052	99	54	LÕc Dß½ng	0	144	98	1	0	0
694	Miêu Cß½ng Chính Ðông	100053	99	54	LÕc Dß½ng	0	144	98	1	0	0
695	NhÕn Nam Chính Nam	100000	99	54	Tô Châu	1	224	185	1	0	0
696	NhÕn B¡c Chính Tây	100001	99	54	Tô Châu	1	224	185	1	0	0
697	Tây H° Chính Tây	100002	99	54	Tô Châu	1	224	185	1	0	0
698	Long Tuy«n Chính B¡c	100003	99	54	Tô Châu	1	224	185	1	0	0
699	Thß½ng S½n Chính Tây	100004	99	54	Tô Châu	1	224	185	1	0	0
700	Nh¸ Häi Chính Tây	100005	99	54	Tô Châu	1	224	185	1	0	0
701	Thäo Nguyên Chính Tây	100006	99	54	Tô Châu	1	224	185	1	0	0
702	Liêu Tây Tây B¡c	100007	99	54	Tô Châu	1	224	185	1	0	0
703	Võ Di Chính Tây	100008	99	54	Tô Châu	1	224	185	1	0	0
704	Mai Lînh Tây B¡c	100009	99	54	Tô Châu	1	224	185	1	0	0
705	ThÕch Lâm Chính Nam	100010	99	54	Tô Châu	1	224	185	1	0	0
706	Ng÷c Khê Tây Nam	100011	99	54	Tô Châu	1	224	185	1	0	0
707	Trß¶ng BÕch S½n Tây B¡c	100012	99	54	Tô Châu	1	224	185	1	0	0
708	Hoàng Long Phü Tây B¡c	100013	99	54	Tô Châu	1	224	185	1	0	0
709	Nam Häi Chính B¡c	100014	99	54	Tô Châu	1	224	185	1	0	0
710	QuÏnh Châu Chính Tây	100015	99	54	Tô Châu	1	224	185	1	0	0
711	Nam Chiªu Tây Nam	100016	99	54	Tô Châu	1	224	185	1	0	0
712	Miêu Cß½ng Chính Ðông	100017	99	54	Tô Châu	1	224	185	1	0	0
713	NhÕn Nam Chính Nam	100018	99	54	Tô Châu	1	224	185	1	0	0
714	NhÕn B¡c Chính Tây	100019	99	54	Tô Châu	1	224	185	1	0	0
715	Tây H° Chính Tây	100020	99	54	Tô Châu	1	224	185	1	0	0
716	Long Tuy«n Chính B¡c	100021	99	54	Tô Châu	1	224	185	1	0	0
717	Thß½ng S½n Chính Tây	100022	99	54	Tô Châu	1	224	185	1	0	0
718	Nh¸ Häi Chính Tây	100023	99	54	Tô Châu	1	224	185	1	0	0
719	Thäo Nguyên Chính Tây	100024	99	54	Tô Châu	1	224	185	1	0	0
720	Liêu Tây Tây B¡c	100025	99	54	Tô Châu	1	224	185	1	0	0
721	Võ Di Chính Tây	100026	99	54	Tô Châu	1	224	185	1	0	0
722	Mai Lînh Tây B¡c	100027	99	54	Tô Châu	1	224	185	1	0	0
723	ThÕch Lâm Chính Nam	100028	99	54	Tô Châu	1	224	185	1	0	0
724	Ng÷c Khê Tây Nam	100029	99	54	Tô Châu	1	224	185	1	0	0
725	Trß¶ng BÕch S½n Tây B¡c	100030	99	54	Tô Châu	1	224	185	1	0	0
726	Hoàng Long Phü Tây B¡c	100031	99	54	Tô Châu	1	224	185	1	0	0
727	Nam Häi Chính B¡c	100032	99	54	Tô Châu	1	224	185	1	0	0
728	QuÏnh Châu Chính Tây	100033	99	54	Tô Châu	1	224	185	1	0	0
729	Nam Chiªu Tây Nam	100034	99	54	Tô Châu	1	224	185	1	0	0
730	Miêu Cß½ng Chính Ðông	100035	99	54	Tô Châu	1	224	185	1	0	0
731	NhÕn Nam Chính Nam	100036	99	54	Tô Châu	1	224	185	1	0	0
732	NhÕn B¡c Chính Tây	100037	99	54	Tô Châu	1	224	185	1	0	0
733	Tây H° Chính Tây	100038	99	54	Tô Châu	1	224	185	1	0	0
734	Long Tuy«n Chính B¡c	100039	99	54	Tô Châu	1	224	185	1	0	0
735	Thß½ng S½n Chính Tây	100040	99	54	Tô Châu	1	224	185	1	0	0
736	Nh¸ Häi Chính Tây	100041	99	54	Tô Châu	1	224	185	1	0	0
737	Thäo Nguyên Chính Tây	100042	99	54	Tô Châu	1	224	185	1	0	0
738	Liêu Tây Tây B¡c	100043	99	54	Tô Châu	1	224	185	1	0	0
739	Võ Di Chính Tây	100044	99	54	Tô Châu	1	224	185	1	0	0
740	Mai Lînh Tây B¡c	100045	99	54	Tô Châu	1	224	185	1	0	0
741	ThÕch Lâm Chính Nam	100046	99	54	Tô Châu	1	224	185	1	0	0
742	Ng÷c Khê Tây Nam	100047	99	54	Tô Châu	1	224	185	1	0	0
743	Trß¶ng BÕch S½n Tây B¡c	100048	99	54	Tô Châu	1	224	185	1	0	0
744	Hoàng Long Phü Tây B¡c	100049	99	54	Tô Châu	1	224	185	1	0	0
745	Nam Häi Chính B¡c	100050	99	54	Tô Châu	1	224	185	1	0	0
746	QuÏnh Châu Chính Tây	100051	99	54	Tô Châu	1	224	185	1	0	0
747	Nam Chiªu Tây Nam	100052	99	54	Tô Châu	1	224	185	1	0	0
748	Miêu Cß½ng Chính Ðông	100053	99	54	Tô Châu	1	224	185	1	0	0
749	NhÕn Nam Chính Nam	100000	99	54	Lâu Lan	246	188	130	1	0	75
750	NhÕn B¡c Chính Tây	100001	99	54	Lâu Lan	246	188	130	1	0	75
751	Tây H° Chính Tây	100002	99	54	Lâu Lan	246	188	130	1	0	75
752	Long Tuy«n Chính B¡c	100003	99	54	Lâu Lan	246	188	130	1	0	75
753	Thß½ng S½n Chính Tây	100004	99	54	Lâu Lan	246	188	130	1	0	75
754	Nh¸ Häi Chính Tây	100005	99	54	Lâu Lan	246	188	130	1	0	75
755	Thäo Nguyên Chính Tây	100006	99	54	Lâu Lan	246	188	130	1	0	75
756	Liêu Tây Tây B¡c	100007	99	54	Lâu Lan	246	188	130	1	0	75
757	Võ Di Chính Tây	100008	99	54	Lâu Lan	246	188	130	1	0	75
758	Mai Lînh Tây B¡c	100009	99	54	Lâu Lan	246	188	130	1	0	75
759	ThÕch Lâm Chính Nam	100010	99	54	Lâu Lan	246	188	130	1	0	75
760	Ng÷c Khê Tây Nam	100011	99	54	Lâu Lan	246	188	130	1	0	75
761	Trß¶ng BÕch S½n Tây B¡c	100012	99	54	Lâu Lan	246	188	130	1	0	75
762	Hoàng Long Phü Tây B¡c	100013	99	54	Lâu Lan	246	188	130	1	0	75
763	Nam Häi Chính B¡c	100014	99	54	Lâu Lan	246	188	130	1	0	75
764	QuÏnh Châu Chính Tây	100015	99	54	Lâu Lan	246	188	130	1	0	75
765	Nam Chiªu Tây Nam	100016	99	54	Lâu Lan	246	188	130	1	0	75
766	Miêu Cß½ng Chính Ðông	100017	99	54	Lâu Lan	246	188	130	1	0	75
767	NhÕn Nam Chính Nam	100018	99	54	Lâu Lan	246	188	130	1	0	75
768	NhÕn B¡c Chính Tây	100019	99	54	Lâu Lan	246	188	130	1	0	75
769	Tây H° Chính Tây	100020	99	54	Lâu Lan	246	188	130	1	0	75
770	Long Tuy«n Chính B¡c	100021	99	54	Lâu Lan	246	188	130	1	0	75
771	Thß½ng S½n Chính Tây	100022	99	54	Lâu Lan	246	188	130	1	0	75
772	Nh¸ Häi Chính Tây	100023	99	54	Lâu Lan	246	188	130	1	0	75
773	Thäo Nguyên Chính Tây	100024	99	54	Lâu Lan	246	188	130	1	0	75
774	Liêu Tây Tây B¡c	100025	99	54	Lâu Lan	246	188	130	1	0	75
775	Võ Di Chính Tây	100026	99	54	Lâu Lan	246	188	130	1	0	75
776	Mai Lînh Tây B¡c	100027	99	54	Lâu Lan	246	188	130	1	0	75
777	ThÕch Lâm Chính Nam	100028	99	54	Lâu Lan	246	188	130	1	0	75
778	Ng÷c Khê Tây Nam	100029	99	54	Lâu Lan	246	188	130	1	0	75
779	Trß¶ng BÕch S½n Tây B¡c	100030	99	54	Lâu Lan	246	188	130	1	0	75
780	Hoàng Long Phü Tây B¡c	100031	99	54	Lâu Lan	246	188	130	1	0	75
781	Nam Häi Chính B¡c	100032	99	54	Lâu Lan	246	188	130	1	0	75
782	QuÏnh Châu Chính Tây	100033	99	54	Lâu Lan	246	188	130	1	0	75
783	Nam Chiªu Tây Nam	100034	99	54	Lâu Lan	246	188	130	1	0	75
784	Miêu Cß½ng Chính Ðông	100035	99	54	Lâu Lan	246	188	130	1	0	75
785	NhÕn Nam Chính Nam	100036	99	54	Lâu Lan	246	188	130	1	0	75
786	NhÕn B¡c Chính Tây	100037	99	54	Lâu Lan	246	188	130	1	0	75
787	Tây H° Chính Tây	100038	99	54	Lâu Lan	246	188	130	1	0	75
788	Long Tuy«n Chính B¡c	100039	99	54	Lâu Lan	246	188	130	1	0	75
789	Thß½ng S½n Chính Tây	100040	99	54	Lâu Lan	246	188	130	1	0	75
790	Nh¸ Häi Chính Tây	100041	99	54	Lâu Lan	246	188	130	1	0	75
791	Thäo Nguyên Chính Tây	100042	99	54	Lâu Lan	246	188	130	1	0	75
792	Liêu Tây Tây B¡c	100043	99	54	Lâu Lan	246	188	130	1	0	75
793	Võ Di Chính Tây	100044	99	54	Lâu Lan	246	188	130	1	0	75
794	Mai Lînh Tây B¡c	100045	99	54	Lâu Lan	246	188	130	1	0	75
795	ThÕch Lâm Chính Nam	100046	99	54	Lâu Lan	246	188	130	1	0	75
796	Ng÷c Khê Tây Nam	100047	99	54	Lâu Lan	246	188	130	1	0	75
797	Trß¶ng BÕch S½n Tây B¡c	100048	99	54	Lâu Lan	246	188	130	1	0	75
798	Hoàng Long Phü Tây B¡c	100049	99	54	Lâu Lan	246	188	130	1	0	75
799	Nam Häi Chính B¡c	100050	99	54	Lâu Lan	246	188	130	1	0	75
800	QuÏnh Châu Chính Tây	100051	99	54	Lâu Lan	246	188	130	1	0	75
801	Nam Chiªu Tây Nam	100052	99	54	Lâu Lan	246	188	130	1	0	75
802	Miêu Cß½ng Chính Ðông	100053	99	54	Lâu Lan	246	188	130	1	0	75
803	NhÕn Nam Chính Nam	100000	99	158	NhÕn Nam	18	72	282	0	1	0
804	NhÕn B¡c Chính Tây	100001	99	158	NhÕn B¡c	19	32	127	0	1	0
805	Tây H° Chính Tây	100002	99	158	Tây H°	30	39	139	0	1	0
806	Long Tuy«n Chính B¡c	100003	99	158	Long Tuy«n	31	63	33	0	1	0
807	Thß½ng S½n Chính Tây	100004	99	158	Thß½ng S½n	25	37	172	0	1	0
808	Nh¸ Häi Chính Tây	100005	99	158	Nhî Häi	24	34	100	0	1	0
809	Thäo Nguyên Chính Tây	100006	99	158	Thäo Nguyên	20	66	202	0	1	0
810	Liêu Tây Tây B¡c	100007	99	158	Liêu Tây	21	75	35	0	1	0
811	Võ Di Chính Tây	100008	99	158	Võ Di	32	92	171	0	1	0
812	Mai Lînh Tây B¡c	100009	99	158	Mai Lînh	33	31	90	0	1	0
813	ThÕch Lâm Chính Nam	100010	99	158	ThÕch Lâm	26	278	281	0	1	0
814	Ng÷c Khê Tây Nam	100011	99	158	Ng÷c Khê	27	33	251	0	1	0
815	Trß¶ng BÕch S½n Tây B¡c	100012	99	158	Trß¶ng BÕch S½n	22	39	63	0	1	0
816	Hoàng Long Phü Tây B¡c	100013	99	158	Hoàng Long Phü	23	28	54	0	1	0
817	Nam Häi Chính B¡c	100014	99	158	Nam Vñc	34	134	40	0	1	0
818	QuÏnh Châu Chính Tây	100015	99	158	QuÏnh Châu	35	80	139	0	1	0
819	Nam Chiªu Tây Nam	100016	99	158	Nam Chiêu	28	39	254	0	1	0
820	Miêu Cß½ng Chính Ðông	100017	99	158	Miêu Cß½ng	29	281	160	0	1	0
821	NhÕn Nam Chính Nam	100018	99	158	NhÕn Nam	18	102	38	0	1	0
822	NhÕn B¡c Chính Tây	100019	99	158	NhÕn B¡c	19	116	29	0	1	0
823	Tây H° Chính Tây	100020	99	158	Tây H°	30	45	267	0	1	0
824	Long Tuy«n Chính B¡c	100021	99	158	Long Tuy«n	31	35	121	0	1	0
825	Thß½ng S½n Chính Tây	100022	99	158	Thß½ng S½n	25	146	284	0	1	0
826	Nh¸ Häi Chính Tây	100023	99	158	Nhî Häi	24	173	283	0	1	0
827	Thäo Nguyên Chính Tây	100024	99	158	Thäo Nguyên	20	97	281	0	1	0
828	Liêu Tây Tây B¡c	100025	99	158	Liêu Tây	21	40	142	0	1	0
829	Võ Di Chính Tây	100026	99	158	Võ Di	32	113	280	0	1	0
830	Mai Lînh Tây B¡c	100027	99	158	Mai Lînh	33	283	236	0	1	0
831	ThÕch Lâm Chính Nam	100028	99	158	ThÕch Lâm	26	227	37	0	1	0
832	Ng÷c Khê Tây Nam	100029	99	158	Ng÷c Khê	27	196	280	0	1	0
833	Trß¶ng BÕch S½n Tây B¡c	100030	99	158	Trß¶ng BÕch S½n	22	280	154	0	1	0
834	Hoàng Long Phü Tây B¡c	100031	99	158	Hoàng Long Phü	23	290	115	0	1	0
835	Nam Häi Chính B¡c	100032	99	158	Nam Vñc	34	293	58	0	1	0
836	QuÏnh Châu Chính Tây	100033	99	158	QuÏnh Châu	35	273	52	0	1	0
837	Nam Chiªu Tây Nam	100034	99	158	Nam Chiêu	28	95	40	0	1	0
838	Miêu Cß½ng Chính Ðông	100035	99	158	Miêu Cß½ng	29	37	251	0	1	0
839	NhÕn Nam Chính Nam	100036	99	158	NhÕn Nam	18	281	113	0	1	0
840	NhÕn B¡c Chính Tây	100037	99	158	NhÕn B¡c	19	234	24	0	1	0
841	Tây H° Chính Tây	100038	99	158	Tây H°	30	261	231	0	1	0
842	Long Tuy«n Chính B¡c	100039	99	158	Long Tuy«n	31	218	282	0	1	0
843	Thß½ng S½n Chính Tây	100040	99	158	Thß½ng S½n	25	294	153	0	1	0
844	Nh¸ Häi Chính Tây	100041	99	158	Nhî Häi	24	285	166	0	1	0
845	Thäo Nguyên Chính Tây	100042	99	158	Thäo Nguyên	20	271	194	0	1	0
846	Liêu Tây Tây B¡c	100043	99	158	Liêu Tây	21	277	258	0	1	0
847	Võ Di Chính Tây	100044	99	158	Võ Di	32	255	38	0	1	0
848	Mai Lînh Tây B¡c	100045	99	158	Mai Lînh	33	269	37	0	1	0
849	ThÕch Lâm Chính Nam	100046	99	158	ThÕch Lâm	26	44	178	0	1	0
850	Ng÷c Khê Tây Nam	100047	99	158	Ng÷c Khê	27	178	37	0	1	0
851	Trß¶ng BÕch S½n Tây B¡c	100048	99	158	Trß¶ng BÕch S½n	22	216	282	0	1	0
852	Hoàng Long Phü Tây B¡c	100049	99	158	Hoàng Long Phü	23	253	285	0	1	0
853	Nam Häi Chính B¡c	100050	99	158	Nam Vñc	34	107	228	0	1	0
854	QuÏnh Châu Chính Tây	100051	99	158	QuÏnh Châu	35	243	150	0	1	0
855	Nam Chiªu Tây Nam	100052	99	158	Nam Chiêu	28	273	241	0	1	0
856	Miêu Cß½ng Chính Ðông	100053	99	158	Miêu Cß½ng	29	250	45	0	1	0
857	ÐÕi Lý	2	182	118	NhÕn Nam Chính Nam	100000	99	149	1	0	0
858	ÐÕi Lý	2	182	118	NhÕn B¡c Chính Tây	100001	99	149	1	0	0
859	ÐÕi Lý	2	182	118	Tây H° Chính Tây	100002	99	149	1	0	0
860	ÐÕi Lý	2	182	118	Long Tuy«n Chính B¡c	100003	99	149	1	0	0
861	ÐÕi Lý	2	182	118	Thß½ng S½n Chính Tây	100004	99	149	1	0	0
862	ÐÕi Lý	2	182	118	Nh¸ Häi Chính Tây	100005	99	149	1	0	0
863	ÐÕi Lý	2	182	118	Thäo Nguyên Chính Tây	100006	99	149	1	0	0
864	ÐÕi Lý	2	182	118	Liêu Tây Tây B¡c	100007	99	149	1	0	0
865	ÐÕi Lý	2	182	118	Võ Di Chính Tây	100008	99	149	1	0	0
866	ÐÕi Lý	2	182	118	Mai Lînh Tây B¡c	100009	99	149	1	0	0
867	ÐÕi Lý	2	182	118	ThÕch Lâm Chính Nam	100010	99	149	1	0	0
868	ÐÕi Lý	2	182	118	Ng÷c Khê Tây Nam	100011	99	149	1	0	0
869	ÐÕi Lý	2	182	118	Trß¶ng BÕch S½n Tây B¡c	100012	99	149	1	0	0
870	ÐÕi Lý	2	182	118	Hoàng Long Phü Tây B¡c	100013	99	149	1	0	0
871	ÐÕi Lý	2	182	118	Nam Häi Chính B¡c	100014	99	149	1	0	0
872	ÐÕi Lý	2	182	118	QuÏnh Châu Chính Tây	100015	99	149	1	0	0
873	ÐÕi Lý	2	182	118	Nam Chiªu Tây Nam	100016	99	149	1	0	0
874	ÐÕi Lý	2	182	118	Miêu Cß½ng Chính Ðông	100017	99	149	1	0	0
875	ÐÕi Lý	2	182	118	NhÕn Nam Chính Nam	100018	99	149	1	0	0
876	ÐÕi Lý	2	182	118	NhÕn B¡c Chính Tây	100019	99	149	1	0	0
877	ÐÕi Lý	2	182	118	Tây H° Chính Tây	100020	99	149	1	0	0
878	ÐÕi Lý	2	182	118	Long Tuy«n Chính B¡c	100021	99	149	1	0	0
879	ÐÕi Lý	2	182	118	Thß½ng S½n Chính Tây	100022	99	149	1	0	0
880	ÐÕi Lý	2	182	118	Nh¸ Häi Chính Tây	100023	99	149	1	0	0
881	ÐÕi Lý	2	182	118	Thäo Nguyên Chính Tây	100024	99	149	1	0	0
882	ÐÕi Lý	2	182	118	Liêu Tây Tây B¡c	100025	99	149	1	0	0
883	ÐÕi Lý	2	182	118	Võ Di Chính Tây	100026	99	149	1	0	0
884	ÐÕi Lý	2	182	118	Mai Lînh Tây B¡c	100027	99	149	1	0	0
885	ÐÕi Lý	2	182	118	ThÕch Lâm Chính Nam	100028	99	149	1	0	0
886	ÐÕi Lý	2	182	118	Ng÷c Khê Tây Nam	100029	99	149	1	0	0
887	ÐÕi Lý	2	182	118	Trß¶ng BÕch S½n Tây B¡c	100030	99	149	1	0	0
888	ÐÕi Lý	2	182	118	Hoàng Long Phü Tây B¡c	100031	99	149	1	0	0
889	ÐÕi Lý	2	182	118	Nam Häi Chính B¡c	100032	99	149	1	0	0
890	ÐÕi Lý	2	182	118	QuÏnh Châu Chính Tây	100033	99	149	1	0	0
891	ÐÕi Lý	2	182	118	Nam Chiªu Tây Nam	100034	99	149	1	0	0
892	ÐÕi Lý	2	182	118	Miêu Cß½ng Chính Ðông	100035	99	149	1	0	0
893	ÐÕi Lý	2	182	118	NhÕn Nam Chính Nam	100036	99	149	1	0	0
894	ÐÕi Lý	2	182	118	NhÕn B¡c Chính Tây	100037	99	149	1	0	0
895	ÐÕi Lý	2	182	118	Tây H° Chính Tây	100038	99	149	1	0	0
896	ÐÕi Lý	2	182	118	Long Tuy«n Chính B¡c	100039	99	149	1	0	0
897	ÐÕi Lý	2	182	118	Thß½ng S½n Chính Tây	100040	99	149	1	0	0
898	ÐÕi Lý	2	182	118	Nh¸ Häi Chính Tây	100041	99	149	1	0	0
899	ÐÕi Lý	2	182	118	Thäo Nguyên Chính Tây	100042	99	149	1	0	0
900	ÐÕi Lý	2	182	118	Liêu Tây Tây B¡c	100043	99	149	1	0	0
901	ÐÕi Lý	2	182	118	Võ Di Chính Tây	100044	99	149	1	0	0
902	ÐÕi Lý	2	182	118	Mai Lînh Tây B¡c	100045	99	149	1	0	0
903	ÐÕi Lý	2	182	118	ThÕch Lâm Chính Nam	100046	99	149	1	0	0
904	ÐÕi Lý	2	182	118	Ng÷c Khê Tây Nam	100047	99	149	1	0	0
905	ÐÕi Lý	2	182	118	Trß¶ng BÕch S½n Tây B¡c	100048	99	149	1	0	0
906	ÐÕi Lý	2	182	118	Hoàng Long Phü Tây B¡c	100049	99	149	1	0	0
907	ÐÕi Lý	2	182	118	Nam Häi Chính B¡c	100050	99	149	1	0	0
908	ÐÕi Lý	2	182	118	QuÏnh Châu Chính Tây	100051	99	149	1	0	0
909	ÐÕi Lý	2	182	118	Nam Chiªu Tây Nam	100052	99	149	1	0	0
910	ÐÕi Lý	2	182	118	Miêu Cß½ng Chính Ðông	100053	99	149	1	0	0
911	LÕc Dß½ng	0	140	95	NhÕn Nam Chính Nam	100000	99	149	1	0	0
912	LÕc Dß½ng	0	140	95	NhÕn B¡c Chính Tây	100001	99	149	1	0	0
913	LÕc Dß½ng	0	140	95	Tây H° Chính Tây	100002	99	149	1	0	0
914	LÕc Dß½ng	0	140	95	Long Tuy«n Chính B¡c	100003	99	149	1	0	0
