INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
300	26	30	402	T± ðµi luy®n c¤p	Ngô ThØ Nhân	0	[234&140]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c H÷c T§p t± ðµi nhi®m vø m¾i có th¬.		
301	26	30	403	KÏ V÷ng Cüa Thiên Sß (1)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c luy®n t§p t± ðµi nhi®m vø m¾i có th¬.		
302	26	32	404	ÐÕi Lý KÏ Thánh	Châu Thiên Sß	0	[160&134]			
303	28	32	405	Tô Châu KÏ Thánh	Vß½ng Tích Tân	0	[271&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c LÕc Dß½ng KÏ Thánh nhi®m vø m¾i có th¬.		
304	28	32	406	LÕc Dß½ng KÏ Thánh	Trß½ng D¸ch Qu¯c	2	[275&95]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ÐÕi Lý KÏ Thánh nhi®m vø m¾i có th¬.		
305	28	32	407	H¡c BÕch	Trß½ng D¸ch Qu¯c	1	[174&147]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Tô Châu KÏ Thánh nhi®m vø m¾i có th¬.		
306	28	32	408	Sinh tØ kì cuµc	B¯c H¯i KÏ	0	[252&62]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c h¡c bÕch nhi®m vø m¾i có th¬.		
307	28	32	409	KÏ V÷ng Cüa Thiên Sß (2)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c sinh tØ ván c¶ nhi®m vø m¾i có th¬.		
308	30	34	410	Thí luy®n Ma Nhai Ðµng	Châu Thiên Sß	0	[160&134]			
309	30	34	411	Quét sÕch Ma Nhai Ðµng	Ma Vân Thiên	213	[17&229]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Thí Luy®n ch² Ma Nhai Ðµng nhi®m vø m¾i có th¬.		
310	30	34	412	KÏ V÷ng Cüa Thiên Sß (3)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c thanh ti­u Ma Nhai Ðµng nhi®m vø m¾i có th¬.		
311	32	36	413	T£c Binh Xâm Nh§p	Châu Thiên Sß	0	[160&134]			
312	32	36	414	Ác T£c TÕo phän	L§p Ph°n	0	[118&184]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c T£c Binh xâm l¤n nhi®m vø m¾i có th¬.		
313	32	36	415	KÏ V÷ng Cüa Thiên Sß (4)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c TÕo Phän ºa T£c nhi®m vø m¾i có th¬.		
314	35	39	416	Ðánh Lén Môn Phái	Châu Thiên Sß	0	[160&134]			
315	35	39	417	ÐÕo Chích Giang h°	L§p Ph°n	0	[118&184]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ðánh lén môn phái nhi®m vø m¾i có th¬.		
316	35	39	418	KÏ V÷ng Cüa Thiên Sß (5)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Giang H° Tiêu Ti¬u nhi®m vø m¾i có th¬.		
317	38	42	419	Liên Hoàn Sáo Liên Hoàn	Châu Thiên Sß	0	[160&134]			
318	38	42	422	XØ lý Dß Ðµc	Ti«n Hoành Vû	1	[62&162]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c liên hoàn Sáo liên hoàn nhi®m vø m¾i có th¬.		
319	38	42	423	Phi«n não cüa Hoa Kiªm Vû	Ti«n Hoành Vû	1	[62&162]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c xØ lý Dß Ðµc nhi®m vø m¾i có th¬.		
320	38	42	424	XØ lý H°ng Hùng Vß½ng	Hoa Kiªm Vû	1	[250&108]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Hoa Kiªm Vû Ðích phi«n não nhi®m vø m¾i có th¬.		
321	38	42	425	Vòng cu¯i	Hoa Kiªm Vû	1	[250&108]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c xØ lý H°ng Hùng Vß½ng nhi®m vø m¾i có th¬.		
322	38	42	426	Di®t Cát Vinh	Ti«n Hoành Vû	1	[62&162]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c cu¯i cùng Nh¤t Hoàn nhi®m vø m¾i có th¬.		
323	38	42	427	ÐÕi Công Cáo Thành	Ti«n Hoành Vû	1	[62&162]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c xØ lý Cát Vinh nhi®m vø m¾i có th¬.		
324	38	42	428	KÏ V÷ng Cüa Thiên Sß (6)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ðÕi công cáo thành nhi®m vø m¾i có th¬.		
325	40	44	429	Ngß¶i Trong Giang H°	Châu Thiên Sß	0	[160&134]			
326	40	44	430	QuÖ Suy Ma	PhÕm Thu¥n Nhân	0	[140&96]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ngß¶i ðang giang h° nhi®m vø m¾i có th¬.		
327	40	44	432	H°i Báo	Ki«u Trí Quäng	0	[174&114]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c QuÖ Suy Ma nhi®m vø m¾i có th¬.		
328	40	44	433	KÏ V÷ng Cüa Thiên Sß (7)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c h°i báo nhi®m vø m¾i có th¬.		
329	42	46	434	Bµ Trang B¸ Ngñ TÑ	Châu Thiên Sß	0	[160&134]			
330	42	46	435	Tìm VÕn Linh ThÕch	Lß½ng Sß Thành	1	[170&138]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ngñ TÑ sáo trang nhi®m vø m¾i có th¬.		
331	42	46	436	H°i Báo Thiên Sß	Lß½ng Sß Thành	1	[170&138]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c tìm kiªm M£c Linh ThÕch nhi®m vø m¾i có th¬.		
332	42	46	437	KÏ V÷ng Cüa Thiên Sß (8)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c h°i báo thiên sß nhi®m vø m¾i có th¬.		
333	45	49	438	Sinh Tài Chi ÐÕo	Châu Thiên Sß	0	[160&134]			
334	45	49	439	Thiên Ð¸a KÏ V§t	Nhuª Phúc Tß¶ng	0	[254&145]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c phát tài Chi ÐÕo nhi®m vø m¾i có th¬.		
335	45	49	470	CÑu Tô Châu	Nhuª Phúc Tß¶ng	0	[254&145]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c thiên ð¸a C½ V§t nhi®m vø m¾i có th¬.		
336	45	49	471	Thái H° Thüy TrÕi	Hô Diên Báo	1	[243&215]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Tô Châu cÑu c¤p nhi®m vø m¾i có th¬.		
337	45	49	472	LÕc Dß½ng Tào v§n sÑ	Hô Diên Báo	1	[243&215]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Thái H° ThuÖ TrÕi nhi®m vø m¾i có th¬.		
338	45	49	473	ÐÕi Lý Tào V§n SÑ	?ÔÃ÷³Ï	0	[228&175]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c LÕc Dß½ng thuÖ v§n SÑ nhi®m vø m¾i có th¬.		
339	45	49	474	Tô Châu Tào v§n sÑ	ÍõÈôÓí	2	[54&192]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ÐÕi Lý thuÖ v§n SÑ nhi®m vø m¾i có th¬.		
340	45	49	475	H°i Phøc Sß M®nh	Løc Sî Tranh	1	[234&78]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Tô Châu thuÖ v§n SÑ nhi®m vø m¾i có th¬.		
341	45	49	476	KÏ V÷ng Cüa Thiên Sß (9)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c h°i phøc Sß M®nh nhi®m vø m¾i có th¬.		
342	48	52	477	Thí luy®n Yªn Vß½ng C± Mµ	Châu Thiên Sß	0	[160&134]			
343	48	52	478	Thám Thính C± Mµ	Yªn Bi®t Thu	202	[62&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Thí Luy®n ch² Yªn Vß½ng c± mµ nhi®m vø m¾i có th¬.		
344	48	52	479	Yªn Huy«n Chi Ng÷c	Yªn Bi®t Thu	202	[62&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c thåm dò c± mµ nhi®m vø m¾i có th¬.		
345	48	52	480	KÏ V÷ng Cüa Thiên Sß (10)	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Yên Huy«n Chi Ng÷c nhi®m vø m¾i có th¬.		
346	50	54	481	Phong Thi«n Ðài	Châu Thiên Sß	0	[160&134]			
348	1	10	1400	Ðµt phá giang h°	Tri®u Thiên Sß	2	[160&156]			
349	1	10	1401	Thanh vû khí thÑ nh¤t	Tri®u Thiên Sß	2	[160&156]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích S½ Thi®p giang h° nhi®m vø m¾i có th¬.		
350	1	10	1402	Phòng cø thÑ nh¤t	B° Lß½ng	2	[216&135]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích thÑ nh¤t Bä vû khí nhi®m vø m¾i có th¬.		
351	2	10	1403	L¥n ð¥u di®t quái v§t	Hoàng Công ÐÕo	2	[238&172]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích thÑ nh¤t Ki®n Phòng Cø nhi®m vø m¾i có th¬.		
352	3	10	1404	Quay v« g£p Thiên Sß	Hoàng Công ÐÕo	2	[238&172]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích l¥n ð¥u tiên giªt quái nhi®m vø m¾i có th¬.		
353	3	10	1405	KÛ nång thß¶ng	Tri®u Thiên Sß	2	[160&156]			
354	4	10	1406	Linh Ðan Di®u Dßþc	Ti«n Long	2	[145&138]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích S½ C¤p kÛ nång nhi®m vø m¾i có th¬.		
355	4	10	1407	Kiªm Các H¥u HoÕn	Lô Tam Th¤t	2	[103&133]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích linh ðan di®u dßþc nhi®m vø m¾i có th¬.		
356	5	10	1408	ÐÕi Lý Quái Nhân	Cao Thång Tß¶ng	2	[58&133]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích Kiªm Các H¥u HoÕn nhi®m vø m¾i có th¬.		
357	6	10	1423	Thª nào g÷i là hành thi®n	Ðoàn Diên Khánh	2	[214&284]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích ÐÕi Lý quái nhân nhi®m vø m¾i có th¬.		
358	6	10	1412	LÕi g£p Thiên Sß	Ðoàn Diên Khánh	2	[214&284]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích cái gì g÷i là làm vi®c thi®n nhi®m vø m¾i có th¬.		
359	7	10	1413	Trân Thú gia tµc	Tri®u Thiên Sß	2	[160&156]			
360	7	10	1414	Trân Thú thÑ 1	Vân Phiêu Phiêu	2	[265&128]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích Trân Thú gia tµc nhi®m vø m¾i có th¬.		
361	7	10	1415	B¡t Trân Thú	Vân Phiêu Phiêu	2	[265&128]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích thÑ nh¤t Chích Trân Thú nhi®m vø m¾i có th¬.		
362	8	10	1416	G£p Thiên Sß l¥n 3	Vân Phiêu Phiêu	2	[265&128]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích Träo Trân Thú nhi®m vø m¾i có th¬.		
363	8	10	1417	HÖ Khánh Di®m Höa	Tri®u Thiên Sß	2	[160&156]			
364	8	10	1418	ÐÕi Thi®n Nhân	Tri®u Thiên Sß	2	[160&156]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích Hï Khánh Di®m Hoä nhi®m vø m¾i có th¬.		
365	9	10	1419	V¤n Ðáp Giang H°	Ti«n Long	2	[145&139]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích ÐÕi hi«n nhân nhi®m vø m¾i có th¬.		
366	9	10	1420	ThØ luy®n sau cùng	Tri®u Thiên Sß	2	[160&156]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích giang h° v¤n ðáp nhi®m vø m¾i có th¬.		
367	10	10	1421	13 ðÕi môn phái	Tri®u Thiên Sß	2	[160&156]			
368	10	10	1422	Giang h° rµng l¾n	Tri®u Thiên Sß	2	[160&156]			
