INT	INT	INT	STRING	STRING
73	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gchßa s¯ng lÕi#WHo£c#Gkhông th¬ truy«n t¯ng#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
74	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gchßa s¯ng lÕi#WHo£c#Gkhông th¬ truy«n t¯ng#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
75	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên#GV¸ TÕi cùng phòng nghï#WNµi, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
76	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên#GV¸ TÕi cùng phòng nghï#WNµi, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
77	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên s¯ lßşng#Gkhông ğü 4Nhân#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
78	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên s¯ lßşng#Gkhông ğü 4Nhân#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
79	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû thành công Viên#Gkhông ğü C¤p 60#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
80	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû thành công Viên#Gkhông ğü C¤p 60#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
81	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì ğµi ngû Nµi#Gthành viên ğã xäy ra thay ğ±i#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
82	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì ğµi ngû Nµi#Gthành viên ğã xäy ra thay ğ±i#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
83	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gm£t khác T± Bi®t#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
84	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gm£t khác T± Bi®t#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
85	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#G2#WCá ğã ngoài#Ggi¯ng nhau môn phái#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
86	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#G2#WCá ğã ngoài#Ggi¯ng nhau môn phái#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
87	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gchßa s¯ng lÕi#WHo£c#Gkhông th¬ truy«n t¯ng#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
88	1	0	Tr§n ğ¤u vào bàn th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u vào bàn th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gchßa s¯ng lÕi#WHo£c#Gkhông th¬ truy«n t¯ng#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû không th¬ tiªn vào tÖ thí n½i sân, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
89	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì#Gğ¯i thü Dî bö quy«n#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû trñc tiªp th¡ng lşi. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
90	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, ğã thành Công Vi Nhçm ch², n½i Ğích ğµi ngû xÑng ğôi Ğáo ğ¯i thü, Ğãn b·i vì#Gğ¯i thü Dî bö quy«n#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû trñc tiªp th¡ng lşi. #r Thïnh Nhçm Säo Tác nghï ng½i, ch¶ ğşi tiªp theo Luân xÑng ğôi Ğích b¡t ğ¥u.
91	1	0	Thú H°n Th÷ Nguyên không ğü	Nhçm Ğích Thú H°n Nhân Th÷ Nguyên không ğü, ğã m¤t KhÑ dùng ğßşc. #rNhçm có th¬ làm cho Døng H°n Ng÷c Vi Ki gia tång Th÷ Nguyên, ğ¬ mµt l¥n næa SÑ con thú này H°n có hi®u lñc.
92	1	0	Thú H°n Th÷ Nguyên không ğü	Nhçm Ğích Thú H°n Nhân Th÷ Nguyên không ğü, Dî tñ ğµng giäi tr× Dung H°n. #rNhçm có th¬ làm cho Døng H°n Ng÷c Vi Ki gia tång Th÷ Nguyên, ğ¬ Khä mµt l¥n næa sØ døng con thú này H°n tiªn hành Dung H°n.
93	1	0	Trân Thú s¯ng lâu không ğü	Nhçm Ğích Trân Thú Nhân s¯ng lâu không ğü, Dî tñ ğµng giäi tr× Dung H°n. Nhçm Vi Ki gia tång s¯ng lâu H§u Khä mµt l¥n næa tiªn hành Dung H°n.
94	1	0	Vai di­n thång c¤p Giäi Toä	Nhçm ğang ·#GgIäi tr×#Wc¤m vai di­n thång c¤p công nång hÕn chª, Tß¾ng TÕi#G%s#WH§u cho phép vai di­n thång c¤p. Nhßşc Yêu ğ±i ı, T¡c Khä TÕi#Gh® th¯ng Tuy¬n HÕng trò ch½i Tính#Wthiªt trí Trung, mµt l¥n næa lña ch÷n c¤m vai di­n thång c¤p có th¬.
95	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Thiên Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G16Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
96	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Thiên Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G8Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
97	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Thiên Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G4Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
98	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Thiên Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gá quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
99	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Thiên Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gquán quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
100	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành NgoÕi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G16Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
101	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành NgoÕi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G8Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
102	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành NgoÕi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G4Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
103	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành NgoÕi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gá quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
104	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành NgoÕi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gquán quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
105	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Nµi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G16Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
106	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Nµi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G8Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
107	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Nµi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#G4Cß¶ng#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
108	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Nµi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gá quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
109	1	3	Môn phái ğ® nh¤t nhân	Chúc m×ng Nhçm tr· thành Nµi Môn#YcÓ mµt không hai sß môn·v¤n ğïnh#Gquán quân#W! Thïnh TÕi#G21: 00#WTh¶i ği trß¾c môn phái tiªn cØ Nhân XØ lînh thß·ng cho.
110	1	3	Môn phái khiêu chiªn	Môn phái khiêu chiªn hoÕt ğµng Tß¾ng Vu 15Phút H§u b¡t ğ¥u, Thïnh thiªu hi®p ği trß¾c ĞÕi Lı(188, 118) MÕnh S¤m XØ tham dñ.
111	1	3	Dñ tuy¬n TrÕi s¡p b¡t ğ¥u	#YĞ?#G%s#YLuân tranh phách TrÕi dñ tuy¬n TrÕi#Ws¡p b¡t ğ¥u LÕp! #r#W thành công t± kiªn chiªn ğµi hi¬u rõ ngß¶i ch½i, Khä Do#Gchiªn ğµi ğµi trß·ng#WHo£c#GPhó ğµi trß·ng#Wdçn d¡t chiªn ğµi thành viên tÕo thành#G6#WNhân Ğích ğµi ngû, Vu m²i ngày#G20: 00#WChí#G20: 29#Wtrong lúc ğó, ği trß¾c#GLÕc Dß½ng#{_INFOAIM152, 99, 0, Lß½ng Siêu Võ}#RLß½ng Siêu Võ#W, #GTô Châu#{_INFOAIM179, 148, 1, Lß½ng Siêu Vån}#RLß½ng Siêu Vån#W, #GĞÕi Lı#{_INFOAIM84, 220, 2, Lß½ng Siêu Ki®t}#RLß½ng Siêu Ki®t#WXØ tiªn vào phòng nghï, chu¦n b¸ tham gia tranh phách TrÕi dñ tuy¬n TrÕi. #r M²i Trß¶ng tr§n ğ¤u Vi#GThi«n BÕi ğào thäi Chª#W, cån cÑ dñ tuy¬n TrÕi chiªn ğµi Ğích s¯ lßşng, m²i ngày nhi«u nh¤t Tß¾ng tiªn hành#G9#WTrß¶ng xÑng ğôi tr§n ğ¤u, #GthÑ nh¤t Danh#WĞích chiªn ğµi s¨#Gthång c¤p#W, cùng v¾i Dß#G7#WThiên thång c¤p Ğích Cµng#G8#WChi chiªn ğµi, tham dñ Tß¾ng TÕi#G9Nguy®t 2Nh§t#Wb¡t ğ¥u Ğích#Ythång c¤p TrÕi#W, cuµc ğua tranh phách TrÕi#GToàn Phøc 32Cß¶ng#Wquı giá danh ngÕch. #r #GTi¬u nêu lên: M²i ngày 20: 30tr§n ğ¤u xÑng ğôi b¡t ğ¥u, V¸ tiªn vào phòng nghï Ğích chiªn ğµi, Tß¾ng coi là ngày ğó tr§n ğ¤u th¤t bÕi; Dñ tuy¬n TrÕi trong lúc, V¸ thång c¤p Ğích chiªn ğµi, Nhßng có th¬ tham dñ ngày kª Ğích dñ tuy¬n TrÕi.
112	1	3	Thång c¤p TrÕi s¡p b¡t ğ¥u	#YĞ?#G%s#YLuân tranh phách TrÕi thång c¤p TrÕi#Ws¡p b¡t ğ¥u LÕp! #r#W nh§n ğßşc dñ tuy¬n TrÕi#G8#WCß¶ng Ğích chiªn ğµi thành viên, Khä Do#Gchiªn ğµi ğµi trß·ng#WHo£c#GPhó ğµi trß·ng#Wdçn d¡t chiªn ğµi thành viên tÕo thành#G6#WNhân Ğích ğµi ngû, Vu m²i ngày#G20: 00#WChí#G20: 29#Wtrong lúc ğó, ği trß¾c#GLÕc Dß½ng#{_INFOAIM152, 99, 0, Lß½ng Siêu Võ}#RLß½ng Siêu Võ#W, #GTô Châu#{_INFOAIM179, 148, 1, Lß½ng Siêu Vån}#RLß½ng Siêu Vån#W, #GĞÕi Lı#{_INFOAIM84, 220, 2, Lß½ng Siêu Ki®t}#RLß½ng Siêu Ki®t#WXØ tiªn vào#Gphòng nghï#W, chu¦n b¸ tham gia#Ytranh phách TrÕi thång c¤p TrÕi#W. #r tr§n ğ¤u Tß¾ng chia làm#Gtám T±#W, M²i Trß¶ng tr§n ğ¤u Vi#GThi«n BÕi ğào thäi Chª#W, cån cÑ thång c¤p TrÕi chiªn ğµi Ğích s¯ lßşng, m²i ngày nhi«u nh¤t Tß¾ng tiªn hành#G6#WTrß¶ng xÑng ğôi tr§n ğ¤u, #GM²i T± thÑ nh¤t Danh#WĞích chiªn ğµi s¨#Gthång c¤p#W, cùng v¾i Dß#G3#WThiên thång c¤p Ğích Cµng#G4#WChi chiªn ğµi, Tß¾ng nh§n ğßşc#Gtranh phách TrÕi Toàn Phøc 32Cß¶ng#W. #r #GTi¬u nêu lên: M²i ngày 20: 30tr§n ğ¤u xÑng ğôi b¡t ğ¥u, V¸ tiªn vào phòng nghï Ğích chiªn ğµi, Tß¾ng coi là ngày ğó tr§n ğ¤u th¤t bÕi; Thång c¤p TrÕi trong lúc, V¸ thång c¤p Ğích chiªn ğµi, Nhßng có th¬ tham dñ ngày kª Ğích thång c¤p TrÕi.
