INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
684	16	99	150	Thiên Lang TØ	Tinh Túc chuy¬n v§n sÑ	V§n chuy¬n	5	2
685	16	100	143	Thiên Toàn TØ	Hµ v® SÑ	Tá Quái	5	4
686	16	96	92	Vß½ng NgÕn	Tinh Tú Phái nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
687	16	95	75	Hàn Thª Trung	Tinh Tú Phái bái sß Nhân	Bái sß	5	3
688	16	142	55	Ðinh Xuân Thu	Ð±i danh hi®u v§t ph¦m	Chß·ng môn	5	3
689	16	87	70	Thi Toàn	Tinh Tú Phái võ công truy«n thø Nhân	Võ công	5	3
690	16	97	46	Thiên ¿ng TØ	Mao Ngßu quän lý Viên	CßÞi	5	3
691	16	101	89	Sß H¯ng TØ	Dçn Trùng kÛ nång truy«n thø Nhân	Dçn Trùng	5	3
692	16	101	87	Trích Tinh TØ	Chª Ðµc kÛ nång truy«n thø Nhân	Chª Ðµc	5	3
693	16	131	48	Tây Vñc Dßþc Lâu TØ			99	5
694	16	94	151	Tri Khách SÑ			5	4
695	16	64	144	Khao Lai TØ	Hàn Minh Vû ðÕo trß·ng Lão	Võ ðÕo	5	4
696	16	70	111	Liên chu tØ	CØu Ách võ ðÕo trß·ng lão	Võ ðÕo	5	4
697	16	104	68	Thiên C½ TØ	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
698	16	114	52	Sùng Ðång TØ	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
699	17	94	158	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
700	17	96	148	Ð£ng Bà	Thiên S½n Tu¥n S½n SÑ	Tá Quái	5	4
701	17	95	60	Phù Mçn Nghi	Phái Thiên S½n nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
702	17	91	44	Mai Kiªm	Phái Thiên S½n bái sß Nhân	Bái sß	5	3
703	17	88	44	Lan Kiªm	Phái Thiên S½n võ công truy«n thø Nhân	Võ công	5	3
704	17	39	71	Tang Phi H°ng	Th¥n Ðiêu quän lý Viên	CßÞi	5	3
705	17	123	67	ThÕch T¦u	Thái Bång Thu§t kÛ nång truy«n thø Nhân	Thái Bång	5	3
706	17	119	67	Dß Bà	Huy«n Bång Thu§t kÛ nång truy«n thø Nhân	Huy«n Bång	5	3
707	17	101	44	Cúc Kiªm			5	4
708	17	90	120	Ô Lão ÐÕi	Thiên S½n chuy¬n v§n sÑ	V§n chuy¬n	5	2
709	17	97	117	Tri Khách SÑ			5	4
710	17	98	44	Trúc Kiªm	Ngß¶i dÕy khinh công Thiên S½n	Khinh Công	5	4
711	17	47	102	Ngô dày ð£c	Sß½ng Ngßng võ ðÕo trß·ng lão	Võ ðÕo	5	4
712	17	53	118	Ngô Di¬u Di¬u	Tuyªt †n võ ðÕo trß·ng lão	Võ ðÕo	5	4
713	17	113	46	Thanh lû mùa thu	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
714	17	73	46	Thù Nguy®t	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
715	18	33	58	Trß¶ng cänh: Thäo Nguyên		V§n chuy¬n	99	2
716	18	264	286	Trß¶ng cänh: LÕc Dß½ng		V§n chuy¬n	99	2
717	18	34	39	Trß¶ng cänh: Ma Nhai Ðµng		V§n chuy¬n	99	2
718	18	248	37	Trß¶ng cänh: NhÕn B¡c		V§n chuy¬n	99	2
719	18	184	66	Khôi Hùng			1	5
720	18	253	210	Kim Ti«n Báo			1	5
721	18	241	74	Chüng Thª Hoành			2	5
722	18	156	163	LÕc Phøng Tiên			1	5
723	18	260	88	Mã Th×a Sänh			2	5
724	18	130	49	Mã Thñc			2	5
725	18	38	206	T¥n Bá Kh·i			1	5
726	18	37	129	T¥n Gia TrÕi Lâu La			1	5
727	18	68	201	T¥n Gia TrÕi Thân Binh			1	5
728	18	127	123	T¥n Gia TrÕi Thám TØ			1	5
729	18	82	73	Thâm thüy thánh thú			1	5
730	18	240	262	Tây B¡c Lang			1	5
731	18	102	36	NhÕn Nam Chính B¡c Hi®u Uý		Thành th¸	2	2
732	18	283	113	NhÕn Nam Chính Ðông Hi®u Uý		Thành th¸	2	2
733	18	72	284	NhÕn Nam Chính Nam Hi®u Uý		Thành th¸	2	2
734	18	128	50	Gia Lu§t MÕc Ca			2	5
735	18	263	46	Chüng Thª Hoành			2	5
736	18	242	73	Châu Vô Uý			2	5
737	19	59	60	Trß¶ng cänh: Thäo Li®u Trß¶ng		V§n chuy¬n	99	2
738	19	139	259	Trß¶ng cänh: C± MÕc Nh¤t		V§n chuy¬n	99	2
739	19	228	280	Trß¶ng cänh: NhÕn Nam		V§n chuy¬n	99	2
740	19	153	202	Bát träo thánh thú			1	5
741	19	184	79	Ðä Thäo C¯c Liêu Binh			1	5
742	19	233	93	H°ng Phong Hùng			1	5
743	19	150	200	H°ng Phong Tri Thù			1	5
744	19	225	131	H°ng Quä Phø			1	5
745	19	246	129	H°ng Thiªt Träo			1	5
746	19	271	49	L² Bình			2	5
747	19	231	203	Miêu Khánh			2	5
748	19	280	60	Møc Ðäo	Ð±i Yên H¥u sáo trang	Yên H¥u	2	4
749	19	40	153	T¥n Gia TrÕi Hµ V®			1	5
750	19	36	249	T¥n Gia TrÕi Giáo Ð¥u			1	5
751	19	163	136	T¥n Gia TrÕi Th± Phï			1	5
752	19	233	192	Khúc Ðoan			2	5
753	19	234	24	NhÕn B¡c Ðông B¡c Hi®u Uý		Thành th¸	2	2
754	19	116	29	NhÕn B¡c Tây B¡c Hi®u Uý		Thành th¸	2	2
755	19	32	128	NhÕn B¡c Chính Tây Hi®u Uý		Thành th¸	2	2
756	19	195	41	Gia Lu§t Dß Ð²			2	5
757	20	271	33	Trß¶ng cänh: Trß¶ng BÕch S½n		V§n chuy¬n	99	2
758	20	119	32	Trß¶ng cänh: Liêu Tây		V§n chuy¬n	99	2
759	20	65	195	Trß¶ng cänh: ThuÖ Tinh H°		V§n chuy¬n	99	2
760	20	287	258	Trß¶ng cänh: NhÕn Nam		V§n chuy¬n	99	2
761	20	258	183	Trß¶ng cänh: BÕch Khê H°		V§n chuy¬n	99	2
762	20	162	160	A Phi			2	5
763	20	161	156	A Lâm			2	5
764	20	77	124	BÕch Minh Khäi			1	5
765	20	177	250	Thäo Nguyên Lang			1	5
766	20	97	281	Thäo Nguyên Tây Nam Hi®u Uý		Thành th¸	2	2
767	20	271	191	Thäo Nguyên Chính Ðông Hi®u Uý		Thành th¸	2	2
768	20	66	202	Thäo Nguyên Chính Tây Hi®u Uý		Thành th¸	2	2
769	20	40	45	Ðä Thäo C¯c T¯ng Binh			1	5
770	20	275	146	Ðoan Mµc Nguyên			1	5
771	20	199	202	Lão Li®t Ð¥u			2	5
772	20	275	269	Mông C± H¡c Phong			1	5
773	20	138	53	Nguy­n Thành			2	5
774	20	190	200	Nguy­n lão thái thái			2	5
775	20	198	202	Nguy­n Thñc			2	5
776	20	78	246	Thi¬m Ði®n Mã Phï			1	5
777	20	273	156	Loan Ðao Mã Phï			1	5
778	20	163	158	Tiêu Tß¶ng			2	5
779	20	198	104	Truy Phong Mã Phï			1	5
780	21	61	297	Trß¶ng cänh: Thäo Nguyên		V§n chuy¬n	99	2
781	21	37	211	Trß¶ng cänh: Tiên Vß½ng Ph¥n		V§n chuy¬n	99	2
782	21	285	45	Trß¶ng cänh: Tuyªt Nguyên		V§n chuy¬n	99	2
783	21	104	59	A SØ Na M£c C¯c			1	5
784	21	158	195	Ba Ð°			2	5
785	21	161	268	BÕch Lang Vß½ng			1	5
786	21	164	199	Bá Nhan			2	5
787	21	163	191	Bác Nhî Luân			2	5
788	21	88	220	ÐÕi H¡c Phong			1	5
789	21	71	96	H¡c Y Mã Phï			1	5
790	21	208	59	H°ng Y Mã Phï			1	5
791	21	173	187	Kiªm Ð¸nh	Xem xét Phù thß½ng nhân	Xem xét	2	3
792	21	222	70	Lí Thông			1	5
793	21	277	258	Liêu Tây Ðông Nam Hi®u Uý		Thành th¸	2	2
794	21	75	35	Liêu Tây Tây B¡c Hi®u Uý		Thành th¸	2	2
795	21	40	142	Liêu Tây Chính Tây Hi®u Uý		Thành th¸	2	2
796	21	279	48	Lßu Quý	TÕo ra Ð° thß½ng nhân	TÕo ra	2	3
797	21	242	52	Long Thång			1	5
798	21	277	204	Khinh Giáp Mãng Cái			1	5
799	21	217	47	Tiêu Doãn			1	5
800	21	170	206	Gia Lu§t Kim			2	5
801	21	194	216	Nh¤t Ph¦m Ðß¶ng Thích Khách			1	5
802	22	33	269	Trß¶ng cänh: Thäo Nguyên		V§n chuy¬n	99	1
803	22	286	73	Trß¶ng cänh: Hoàng Long Phü		V§n chuy¬n	99	1
804	22	153	107	Xa Truy«n Nhân	D¸ch TrÕm Lão Bän	V§n chuy¬n	2	1
805	22	116	158	Bång Phong ‘i LuÛ			1	5
806	22	216	282	Trß¶ng BÕch Chính Nam Hi®u Uý		Thành th¸	2	2
807	22	39	63	Trß¶ng BÕch Tây B¡c Hi®u Uý		Thành th¸	2	2
808	22	280	154	Trß¶ng BÕch Chính Ðông Hi®u Uý		Thành th¸	2	2
809	22	75	272	Ðông B¡c H±			1	5
810	22	269	270	Hµt ThÕch Li®t A S½			1	5
811	22	57	169	H¡c Hùng			1	5
812	22	132	73	Liêu Nha Tuyªt Nhân			1	5
813	22	147	123	Ð° Ðan Phúc T¤n			2	5
814	22	234	78	Hoàn Nhan A C¯t Ðä			2	5
815	22	178	113	Hoàn Nhan Ngoa Lý Ðóa			2	5
816	22	117	108	Hoàn Nhan A Lý B¯			2	5
817	22	166	94	Hoàn Nhan Cát Ly B¤t			2	5
818	22	157	127	Hoàn Nhan Ngô Kh¤t Mãi			2	5
819	22	118	107	Hoàn Nhan Ngµt thu§t			2	5
820	22	147	121	Hoàn Nhan Doanh Ca			2	5
821	22	147	120	Hoàn Nhan Niêm Mµt Khát			2	5
822	22	117	112	Tiêu Phß½ng Trí			2	5
823	22	201	190	Tuyªt Nhân			1	5
824	22	230	141	Tuyªt S½n Li®p Nhân			1	5
825	23	48	287	Trß¶ng cänh: Trß¶ng BÕch S½n		V§n chuy¬n	99	2
826	23	201	255	Trß¶ng cänh: Tuyªt Lang H°		V§n chuy¬n	99	2
827	23	279	201	Ba Luân Mãng Cái			1	5
828	23	174	260	ÐÕi H¡c Hùng			1	5
829	23	166	204	Phù T¸ch Nhan			2	5
830	23	144	104	H°ng Bá	Bäo ThÕch thß½ng nhân	Bäo thÕch	2	3
831	23	253	285	Hoàng Long Ðông Nam Hi®u Uý		Thành th¸	2	2
832	23	28	54	Hoàng Long Tây B¡c Hi®u Uý		Thành th¸	2	2
833	23	290	115	Hoàng Long Chính Ðông Hi®u Uý		Thành th¸	2	2
834	23	79	38	Ho¡c Ti			1	5
835	23	190	48	Lßu NgÕo Thiên			2	5
836	23	46	276	Mµ Dung Thiên Lang			2	5
837	23	163	191	Thác BÕt Vån			2	5
838	23	159	133	Tuyªt S½n Lang			1	5
839	23	67	143	Tuyªt S½n Mãng Cái			1	5
840	23	217	84	Mµc Vân Tuyªt Nhân			1	5
841	23	155	195	Vû Vån Tô			2	5
842	23	78	66	Tr÷ng Giáp Mãng Cái			1	5
843	24	34	157	Trß¶ng cänh: Thß½ng S½n		V§n chuy¬n	99	2
844	24	287	32	Trß¶ng cänh: ÐÕi Lý		V§n chuy¬n	99	2
845	24	34	279	Trß¶ng cänh: ThÕch Lâm		V§n chuy¬n	99	2
846	24	284	87	Trß¶ng cänh: Ôn Tuy«n Ðµng		V§n chuy¬n	99	2
847	24	153	127	Xích Cß¾c Dã Nhân			1	5
848	24	57	73	Ðao Lß½ng Hiên			2	5
849	24	207	49	Ðao Nghiêu			2	5
850	24	57	75	Ðao Anh LÕc			2	5
851	24	111	130	ºa Lang Thü V®			1	5
852	24	285	166	Nh¸ Häi Chính Ðông Hi®u Uý		Thành th¸	2	2
853	24	173	283	Nh¸ Häi Chính Nam Hi®u Uý		Thành th¸	2	2
854	24	34	100	Nh¸ Häi Chính Tây Hi®u Uý		Thành th¸	2	2
855	24	189	195	Phong Lang			1	5
856	24	225	77	Báo Ð¯m			1	5
857	24	275	197	Giän Ðinh	Xem xét Phù thß½ng nhân	Xem xét	2	3
858	24	134	276	Lang Tµc Kinh SÑ			1	5
859	24	229	146	Lang Tµc Thám TØ			1	5
860	24	99	121	Lang Tµc Chiªn Sî			1	5
861	24	96	126	Tát Ninh			2	5
862	24	191	269	Ðào Yêu Yêu	Ðào Hoa Tr§n	Bày tr§n	2	2
863	25	286	56	Trß¶ng cänh: Nh¸ Häi		V§n chuy¬n	99	2
864	25	278	122	Trß¶ng cänh: Dã Nhân Câu		V§n chuy¬n	99	2
865	25	48	54	Trß¶ng cänh: Thøc Nam		V§n chuy¬n	99	2
866	25	258	181	B¯i Nhî			1	5
867	25	37	172	Thß½ng S½n Chính Tây Hi®u Uý		Thành th¸	2	2
868	25	294	153	Thß½ng S½n Chính Ðông Hi®u Uý		Thành th¸	2	2
869	25	146	284	Thß½ng S½n Chính Nam Hi®u Uý		Thành th¸	2	2
870	25	52	89	Trß¶ng mao tuyªt quái			1	5
871	25	264	202	Ð¸ch Á			1	5
872	25	190	250	Lang Tµc Th¥n Hán			1	5
873	25	138	236	Lang Tµc Ð¥u Nhân			1	5
874	25	262	198	Lang Tµc Th± Ty			1	5
875	25	158	70	Lang Tµc Dûng Sî			1	5
876	25	70	47	Mã Ðâu Linh	Ph¯i phß½ng thß½ng nhân	Ph¯i Phß½ng	2	3
877	25	236	196	MÕc Phi			1	5
878	25	195	113	Tát Ðô			2	5
879	25	260	182	Tát L²			2	5
880	25	164	53	Tôn Khôn	Thúc Hà C± Tr¤n	V§n chuy¬n	2	1
881	25	155	205	Tát Mã			2	5
882	25	202	108	Tát Tang			2	5
883	25	76	91	Tát Tuyªt			2	5
884	25	57	167	Soa Y Dã Nhân			1	5
885	25	40	263	Huy«n Kích Kim Cß½ng			1	5
886	25	47	104	Tuyªt Lang			1	5
887	26	268	128	Trß¶ng cänh: Nh¸ Häi		V§n chuy¬n	99	2
888	26	33	250	Trß¶ng cänh: Nam Chiªu		V§n chuy¬n	99	2
889	26	109	272	Trß¶ng cänh: Thø Ðµng		V§n chuy¬n	99	2
890	26	37	273	Trß¶ng cänh: Diêm H°		V§n chuy¬n	99	2
891	26	112	34	Trß¶ng cänh: Ng÷c Khê		V§n chuy¬n	99	2
892	26	130	261	A Chi			1	5
893	26	201	174	Hoa Cß½ng Sß Vß½ng			1	5
894	26	76	185	Hoa Cß½ng ThÕch Nhân			1	5
895	26	217	147	Hoa Cß½ng ThÕch Sß			1	5
896	26	185	99	Lang Thù			1	5
897	26	59	55	Lß½ng A Bà			2	5
898	26	45	44	T¥n H°ng Miên			2	5
899	26	226	36	ThÕch Lâm Ðông B¡c Hi®u Uý		Thành th¸	2	2
900	26	278	281	ThÕch Lâm Chính Nam Hi®u Uý		Thành th¸	2	2
901	26	45	177	ThÕch Lâm Chính Tây Hi®u Uý		Thành th¸	2	2
902	26	167	196	ThÕch Nhân Y¬n Sß			1	5
903	26	180	160	Dß½ng Liên TØ			2	5
904	26	240	181	Dß½ng Thiªt Tín			2	5
905	26	49	55	Hi®t Nham ThÕch Nhân			1	5
906	26	183	167	Tr¸nh Viên			2	5
907	26	183	166	Tr¸nh Quân Khä			2	5
908	26	182	163	Tr¸nh Huy«n			2	5
909	26	273	45	Tông Hùng			1	5
910	27	36	46	Trß¶ng cänh: ThÕch Lâm		V§n chuy¬n	99	2
911	27	54	167	Trß¶ng cänh: Ðào Hoa Nguyên		V§n chuy¬n	99	2
912	27	280	47	A H¡c			2	5
913	27	277	44	A Y Na			2	5
914	27	246	273	ÐÕi Y¬n Sß			1	5
915	27	276	45	C± L² LÕp			2	5
916	27	57	73	K¸ch Ðµc Lang Thù			1	5
917	27	87	258	Long Huyªt ThÕch Nhân			1	5
918	27	46	51	La B¯c			2	5
919	27	115	250	Næ Oa ThÕch Nhân			1	5
920	27	254	147	Nhi®t B¯ Ba LÕp			1	5
921	27	49	51	Sách Mçu LÕp			2	5
922	27	222	213	Y¬n Sß Hµ Pháp			1	5
923	27	33	251	Ng÷c Khê Tây Nam Hi®u Uý		Thành th¸	2	2
924	27	177	39	Ng÷c Khê Chính B¡c Hi®u Uý		Thành th¸	2	2
925	27	197	280	Ng÷c Khê Chính Nam Hi®u Uý		Thành th¸	2	2
926	27	118	98	Vân Mçu ThÕch Nhân			1	5
927	28	106	285	Trß¶ng cänh: Miêu Cß½ng		V§n chuy¬n	99	1
928	28	280	45	Trß¶ng cänh: ThÕch Lâm		V§n chuy¬n	99	1
929	28	187	43	Xa Truy«n Phúc	D¸ch TrÕm Lão Bän	V§n chuy¬n	2	1
930	28	151	49	A Ngõa			2	5
931	28	151	67	A Vßþng			2	5
932	28	128	50	BÕch Cänh Võ			2	5
933	28	147	47	BÕch Lan			2	5
934	28	193	95	Tùng Lâm Phong			1	5
935	28	102	271	H¡c Miêu Chiªn Sî			1	5
936	28	282	143	H¡c Chi¬u Báo			1	5
937	28	96	42	Nam Chiªu Tây B¡c Hi®u Uý		Thành th¸	2	2
938	28	272	240	Nam Chiªu Ðông Nam Hi®u Uý		Thành th¸	2	2
939	28	39	254	Nam Chiªu Tây Nam Hi®u Uý		Thành th¸	2	2
940	28	182	210	Ð¢ng Giáp Dûng Sî			1	5
941	28	68	189	Ð¢ng Giáp T£c			1	5
942	28	103	210	Ð° Ba L²			1	5
943	28	109	199	Ngµt C¯t Ðµt			1	5
944	28	157	223	Dß½ng Minh			2	5
945	29	67	32	Trß¶ng cänh: Nam Chiªu		V§n chuy¬n	99	2
946	29	265	83	A TÏ Tu La			1	5
947	29	92	266	A Hµi Nam			2	5
948	29	201	256	A Tùng			2	5
949	29	182	264	A Vû			2	5
950	29	205	208	Ách Tu La			1	5
951	29	196	161	C± Hán			1	5
952	29	252	260	H°ng Thiên	Bäo ThÕch thß½ng nhân	Bäo thÕch	2	3
953	29	250	45	Miêu Cß½ng Ðông B¡c Hi®u Uý		Thành th¸	2	2
954	29	37	251	Miêu Cß½ng Tây Nam Hi®u Uý		Thành th¸	2	2
955	29	281	160	Miêu Cß½ng Chính Ðông Hi®u Uý		Thành th¸	2	2
956	29	34	89	Miêu Vi®t Si Khách			1	5
957	29	186	271	ThÕch Chung Nham			2	5
958	29	37	198	VÕn Kiªp Tu La			1	5
959	29	162	48	Vînh DÕ Tu La			1	5
960	29	44	40	Chi¬u TrÕch NgÕc Ngß			1	5
961	30	287	54	Trß¶ng cänh: Long Tuy«n		V§n chuy¬n	99	2
962	30	42	227	Trß¶ng cänh: Thuy«n ‘		V§n chuy¬n	99	2
963	30	34	50	Trß¶ng cänh: Tô Châu		V§n chuy¬n	99	2
964	30	265	286	Trß¶ng cänh: Vû Di		V§n chuy¬n	99	2
965	30	91	45	Trß¶ng cänh: DÕ Tây H°		V§n chuy¬n	99	2
966	30	64	240	BÕch Ðê Li­u QuÖ			1	5
967	30	217	74	ÐoÕn Ki«u Hoa Yêu			1	5
968	30	51	184	Quy Phong Trang Trang Khách			1	5
969	30	68	48	Hoa Cäng Ðµc Phong			1	5
970	30	141	47	Kim ÐÕi Kiên			2	5
971	30	251	228	Long Tïnh Thüy T£c			1	5
972	30	187	256	Mã Hán			2	5
973	30	182	209	Thüy QuÖ Thám TØ			1	5
974	30	164	262	Tô Phi			2	5
975	30	46	55	Vß½ng Tri«u			2	5
976	30	45	267	Tây H° Tây Nam Hi®u Uý		Thành th¸	2	2
977	30	261	231	Tây H° Chính Ðông Hi®u Uý		Thành th¸	2	2
978	30	39	139	Tây H° Chính Tây Hi®u Uý		Thành th¸	2	2
979	30	155	55	Trß½ng Thúc DÕ			2	5
980	31	172	280	Trß¶ng cänh: Kiªm Trüng		V§n chuy¬n	99	2
981	31	34	274	Trß¶ng cänh: Tây H°		V§n chuy¬n	99	2
982	31	284	154	Trß¶ng cänh: Thanh Nguyên		V§n chuy¬n	99	2
983	31	51	115	A Thanh			2	5
984	31	242	255	Thß¶ng Quy Vân			1	5
985	31	227	47	Pháp Hà			2	5
986	31	239	38	Pháp H°			2	5
987	31	224	47	Pháp H°ng			2	5
988	31	207	63	Pháp Ni®m			2	5
989	31	221	70	Quy Phong Kiªm Phách			1	5
990	31	242	162	Quy Phong Trang Kiªm Sß			1	5
991	31	60	194	LÕn Lµ Thüy QuÖ			1	5
992	31	165	137	Lôi Hoán			2	5
993	31	79	250	Long Tuy«n Báo			1	5
994	31	218	282	Long Tuy«n Ðông Nam Hi®u Uý		Thành th¸	2	2
995	31	63	33	Long Tuy«n Chính B¡c Hi®u Uý		Thành th¸	2	2
996	31	35	121	Long Tuy«n Chính Tây Hi®u Uý		Thành th¸	2	2
997	31	129	98	Thüy QuÖ Thích Khách			1	5
998	31	48	51	Thông Thiên			1	5
999	31	150	126	Ông Bá Chi			2	5
1000	31	151	121	Ông Quý Chi			2	5
1001	31	154	131	Ông Thúc Chi			2	5
1002	31	174	260	TÕc Thuy«n Thüy QuÖ			1	5
1003	31	120	171	Tung Höa Thüy QuÖ			1	5
1004	32	96	44	Trß¶ng cänh: Hoàng Long Ðµng		V§n chuy¬n	99	2
1005	32	283	180	Trß¶ng cänh: Mai Lînh		V§n chuy¬n	99	2
1006	32	248	286	Trß¶ng cänh: Nam Häi		V§n chuy¬n	99	2
1007	32	36	33	Trß¶ng cänh: Tây H°		V§n chuy¬n	99	2
1008	32	158	113	BÕch Hoa Tri Thù			1	5
1009	32	202	42	Phù Dung			2	5
1010	32	165	213	Hàm Tiªu			2	5
1011	32	212	47	Giän Thinh	Xem xét Phù thß½ng nhân	Xem xét	2	3
1012	32	51	229	Thiên Niên Bång Phách			1	5
1013	32	194	52	Khúc Dß½ng			2	5
1014	32	169	239	S½n Vi®n Ðao Khách			1	5
1015	32	156	54	S½n Vi®n ÐÕo Phï			1	5
1016	32	152	47	S½n Vi®n Du H°n			1	5
1017	32	268	244	S½n Vi®n Chiªn Sî			1	5
1018	32	50	84	Thâm C¯c BÕch Viên			1	5
1019	32	258	125	Thø Giáp Tiêu Binh			1	5
1020	32	205	43	Thüy Tiên			2	5
1021	32	158	143	Vong Tr¥n			2	5
1022	32	254	38	Võ Di Ðông B¡c Hi®u Uý		Thành th¸	2	2
1023	32	113	280	Võ Di Chính Nam Hi®u Uý		Thành th¸	2	2
1024	32	92	172	Võ Di Chính Tây Hi®u Uý		Thành th¸	2	2
1025	32	195	42	TØ Vi			2	5
1026	33	192	279	Trß¶ng cänh: Miêu Nhân Ðµng		V§n chuy¬n	99	2
1027	33	33	275	Trß¶ng cänh: Vû Di		V§n chuy¬n	99	2
1028	33	276	29	Trß¶ng cänh: Thanh Nguyên		V§n chuy¬n	99	2
1029	33	109	105	Tùng Lâm Dã Nhân			1	5
1030	33	163	284	Ðông Thích			2	5
1031	33	162	274	Cam Thäo			2	5
1032	33	40	250	H°ng Bào Tri Thù			1	5
1033	33	161	286	Kinh Cúc			2	5
1034	33	169	240	Kh¡c Lý Tß Ðª An			2	5
1035	33	230	250	Lßu Kh¤u			1	5
1036	33	271	37	Mai Lînh Ðông B¡c Hi®u Uý		Thành th¸	2	2
1037	33	31	90	Mai Lînh Tây B¡c Hi®u Uý		Thành th¸	2	2
1038	33	282	236	Mai Lînh Chính Ðông Hi®u Uý		Thành th¸	2	2
1039	33	167	174	B¢ng Dân			1	5
1040	33	222	53	S½n Vi®n Hµ Pháp			1	5
1041	33	120	71	S½n Vi®n Tß Tª			1	5
1042	33	170	74	Th¦m VÕn Tam			2	5
1043	33	195	48	Thái Dß½ng Hoa			2	5
1044	33	159	285	Ngân Hi®p			2	5
1045	33	192	70	Nguy®t Lý			2	5
1046	34	70	188	Trß¶ng cänh: Häi T£c Ðµng		V§n chuy¬n	99	1
1047	34	286	174	Trß¶ng cänh: QuÏnh Châu		V§n chuy¬n	99	1
1048	34	34	36	Trß¶ng cänh: Vû Di		V§n chuy¬n	99	1
1049	34	204	259	Xa Truy«n Tín	D¸ch TrÕm Lão Bän	V§n chuy¬n	2	1
1050	34	111	60	Ðinh Liên Y			2	5
1051	34	194	100	NgÕc Ngß Bang Ðä Thü			1	5
1052	34	158	80	NgÕc Ngß Bang T£c Ð°			1	5
1053	34	214	243	Lý Lão Thái Thái			2	5
1054	34	292	58	Nam Häi Ðông B¡c Hi®u Uý		Thành th¸	2	2
1055	34	70	135	Nam Vñc NgÕc Ngß			1	5
1056	34	239	216	Nam Vñc Häi ÐÕo			1	5
1057	34	108	227	Nam Häi Tây Nam Hi®u Uý		Thành th¸	2	2
1058	34	134	40	Nam Häi Chính B¡c Hi®u Uý		Thành th¸	2	2
1059	34	250	186	ThÕch Cäm Ðß½ng			2	5
1060	34	165	167	ThÕch Lão Nhân			1	5
1061	34	115	58	Di®p Lßu Phàm			2	5
1062	34	265	193	NhÕc B¤t Bình			2	5
1063	34	206	237	NhÕc Tr÷ng Thu			2	5
1064	35	279	286	Trß¶ng cänh: Nam Häi		V§n chuy¬n	99	2
1065	35	169	95	NgÕc Ngß Bang Sát Thü			1	5
1066	35	111	200	NgÕc Ngß Bang Ðß¶ng Chü			1	5
1067	35	206	218	NgÕc Ngß Bang Dûng Sî			1	5
1068	35	246	138	H°ng Long	Bäo ThÕch thß½ng nhân	Bäo thÕch	2	3
1069	35	246	151	Lång ºc T×			2	5
1070	35	252	63	Nam Vñc ÐÕo Th¥n			1	5
1071	35	273	52	QuÏnh Châu Ðông B¡c Hi®u Uý		Thành th¸	2	2
1072	35	243	150	QuÏnh Châu Chính Ðông Hi®u Uý		Thành th¸	2	2
1073	35	80	139	QuÏnh Châu Chính Tây Hi®u Uý		Thành th¸	2	2
1074	35	110	110	C¥u Lão Th¤t			1	5
1075	35	260	195	Th¸ Huyªt NgÕc Ngß			1	5
1076	35	274	269	Du Du			2	5
1077	35	241	159	Nguyên TØ Khâm			2	5
1078	35	256	242	NhÕc Lão Tam			2	5
1079	35	280	215	Võ Cát	Nam Häi Chú Sß	Thß½ng Nhân	2	5
1080	77	15	24	MÕnh Bà			99	2
1081	112	290	60	Trß¶ng cänh: Thánh Thú S½n		V§n chuy¬n	99	2
1082	112	139	206	Huy«n Võ Ðäo·Kính		V§n chuy¬n	99	2
1083	112	82	30	Quy Giai		V§n chuy¬n	2	2
1084	112	85	38	Sa Châu Lãnh			2	2
1085	112	130	86	Th¯ TØ			3	3
1086	112	169	66	Ô Quân			3	3
1087	112	54	65	Yên TØ			3	3
1088	112	139	111	Si V¸			3	4
1089	112	234	57	C¦u			3	4
1090	112	203	69	H¥u TØ			3	4
1091	112	115	122	Cán Hùng			3	5
1092	112	200	162	Lang			3	5
1093	112	175	128	Tùng ThØ			3	5
1094	112	153	157	Anh Vû			3	5
1095	112	228	166	Biên BÑc			3	6
1096	112	59	151	ÐÕi Ðß¶ng Lang			3	6
1097	112	68	121	NgÕc Ngß			3	6
1098	112	101	155	Tích D¸ch			3	6
1099	112	62	256	Hoan			4	7
1100	112	96	254	Lão H±			4	7
1101	112	61	218	Miêu Ð¥u ¿ng			4	7
1102	112	127	254	Dã Trß			4	7
1103	112	250	236	Báo TØ			4	8
1104	112	192	232	Bång Tàm			4	8
1105	112	181	268	Ðà Ði¬u			4	8
1106	112	216	270	¿ng			4	8
1107	112	216	223	B¡c Cñc Hùng			4	9
1108	112	276	121	ÐÕi Tinh Tinh			4	9
1109	112	285	149	Kiªm Xï H±			4	9
1110	112	263	166	Kh±ng Tß¾c			4	9
1111	112	247	98	Bác Mã			4	10
1112	112	275	85	Kiªm Long			4	10
1113	112	227	92	Tê Ngßu			4	10
1114	112	107	87	Vân Quyªt Quyªt			2	2
1115	165	96	84	Täo Ð¸a Tång		NhÕn Quan	5	2
