INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
222	雪狼湖	256	256	xuelanghu.scene	xuelanghu.path	xuelanghu.wCollision	qiongzhou.jpg	147	60000	xuelanghu	753	96	754	83	15000	10	Sign19	MiniMap_Icon3	XueLangHu_Normal	MiniMap_Icon3	XueLangHu_Normal	由黄龙府进入#r怪物等级100-104#r怪物种类：#r大黑熊、雪山莽盖、#r雪山狼、重甲莽盖、#r巴伦莽盖。	0.15;0.1
223	凤凰古镇	256	256	fenghuang.scene	fenghuang.path	fenghuang.wCollision	qiongzhou.jpg	147	60000	fenghuang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon2	YipinTang_Hover	凤凰古镇	0.15;0.1
224	钱庄	128	128	qianzhuang.scene	qianzhuang.path	qianzhuang.wCollision	qiongzhou.jpg	141	60000	qianzhuang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
225	小木人巷2	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
226	小木人巷3	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
227	后花园2	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
228	后花园3	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
229	银皑雪原	256	256	bingkang.scene	bingkang.path	bingkang.wCollision	qiongzhou.jpg	147	60000	bingkang	647	65	648	45	15000	10	Sign25	MiniMap_Icon3	Yinaixueyuan_Normal	MiniMap_Icon3	Yinaixueyuan_Normal	野外场景#r怪物等级75-80#r怪物种类：#r企鹅、企鹅王、#r雪原狼、银皑雪人、#r雪原莽盖。	0.15;0.1
230	镜湖匪寨	192	192	jiaofei.scene	jiaofei.path	jiaofei.wCollision	qiongzhou.jpg	147	60000	jiaofei	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
231	野猪农场	128	128	zhenshoulan.scene	zhenshoulan.path	zhenshoulan.Wcollision	zhenshoulan.jpg	147	60000	zhenshoulan	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	野猪农场	0.15;0.1
232	圣兽山副本	256	256	petisland_2.scene	petisland_2.path	petisland_2.Wcollision	petisland_2.jpg	147	60000	petisland_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	圣兽山副本	0.15;0.1
233	牡丹碗	128	128	cuju.Scene	cuju.path	cuju.Wcollision	cuju.jpg	117	60000	cuju	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	牡丹碗	0.15;0.1
234	嵩山封禅台	192	192	jingjichang.scene	jingjichang.path	jingjichang.Wcollision	jingjichang.jpg	120	60000	jingjichang	680	525	680	550	15000	10	Sign26	MiniMap_Icon3	FengShanTai_Normal	MiniMap_Icon3	FengShanTai_Normal	封禅台：争夺武林盟主的战场	0.15;0.1
235	盐湖	256	256	yanhu.scene	yanhu.path	yanhu.WCollision	yanhu.jpg	147	60000	yanhu	204	760	204	776	15000	10	Sign3	MiniMap_Icon3	YanHu_Normal	MiniMap_Icon3	YanHu_Normal	盐湖：野外场景#r怪物等级84-89#r怪物种类：#r盐湖熊、盐湖鳄鱼#r挖盐木人、挖盐苦工#r偃师监工、偃师守卫。	0.15;0.1
236	燕子坞	256	256	yanziwu.scene	yanziwu.path	yanziwu.Wcollision	yanziwu.jpg	494	60000	yanziwu	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	燕子坞	0.15;0.1
237	白沙盐坑	128	128	yankeng.scene	yankeng.path	yankeng.Wcollision	yankeng.jpg	147	60000	yankeng	187	748	187	735	15000	10	Sign19	MiniMap_Icon3	Baishayankeng_Normal	MiniMap_Icon3	Baishayankeng_Hover	由盐湖进入#r怪物等级84-89#r怪物种类：#r盐湖熊、盐湖鳄鱼#r挖盐木人、挖盐苦工#r偃师监工、偃师守卫。	0.15;0.1
238	洛阳第一休息室	64	64	qijvxiuxi_1.Scene	qijvxiuxi_1.path	qijvxiuxi_1.WCollision	qijvxiuxi_1.jpg	18	60000	qijvxiuxi_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	洛阳第一休息室	0.15;0.1
239	洛阳第二休息室	64	64	qijvxiuxi_2.Scene	qijvxiuxi_2.path	qijvxiuxi_2.WCollision	qijvxiuxi_2.jpg	18	60000	qijvxiuxi_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	洛阳第二休息室	0.15;0.1
240	大理休息室	64	64	qijvxiuxi_3.Scene	qijvxiuxi_3.path	qijvxiuxi_3.WCollision	qijvxiuxi_3.jpg	101	60000	qijvxiuxi_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	大理休息室	0.15;0.1
241	苏州休息室	64	64	qijvxiuxi_4.Scene	qijvxiuxi_4.path	qijvxiuxi_4.WCollision	qijvxiuxi_4.jpg	19	60000	qijvxiuxi_4	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苏州休息室	0.15;0.1
242	洛阳	320	320	luoyangsnowWorld.Scene	luoyang.path	luoyangsnowWorld.wCollision	luoyangsnow.jpg	123	60000	luoyangsnow	590	394	590	418	15000	10	Sign5	MiniMap_Icon2	LuoYang_Normal	MiniMap_Icon2	LuoYang_Hover	城市-洛阳	0.2;0.2
243	寒玉谷	96	96	hanyuchuang.Scene	hanyuchuang.path	hanyuchuang.wCollision	hanyuchuang.jpg	122	60000	hanyuchuang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	寒玉谷	0.15;0.1
244	火焰山	256	256	huoyanshan.Scene	huoyanshan.path	huoyanshan.wCollision	huoyanshan.jpg	500	60000	huoyanshan	269	253	269	278	15000	10	Sign50	MiniMap_Icon4	Huoyanshan_Normal	MiniMap_Icon4	Huoyanshan_Hover	野外场景#r怪物等级90-95#r怪物种类：#r西域马匪、荒原蝎#r北方盗贼、翼牛#r北方强盗、铁翼牛，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r冬虫夏草、龙葵籽、#r胭脂鱼（166，119）、#r翘嘴红鮊（170，119）。	0.15;0.1
245	高昌	256	256	gaochang.Scene	gaochang.path	gaochang.wCollision	gaochang.jpg	501	60000	gaochang	210	313	210	337	15000	10	Sign48	MiniMap_Icon4	Gaochang_Normal	MiniMap_Icon4	Gaochang_Hover	野外场景#r怪物等级95-100#r怪物种类：#r废墟恐蝎、骷髅兵#r西域萨满、西域巫医#r西域窃贼、西域劫匪，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r冬虫夏草、龙葵籽、#r胭脂鱼（107，69）、#r翘嘴红鮊（95，44）。	0.15;0.1
246	楼兰	320	320	loulangucheng.Scene	loulangucheng.path	loulangucheng.wCollision	loulangucheng.jpg	505	60000	loulangucheng	130	270	130	304	15000	10	Sign47	MiniMap_Icon4	Loulan_Normal	MiniMap_Icon4	Loulan_Hover	城市-楼兰	0.15;0.1
247	塔里木	256	256	talimu.Scene	talimu.path	talimu.wCollision	talimu.jpg	504	60000	talimu	110	378	110	397	15000	10	Sign3	MiniMap_Icon4	Talimu_Normal	MiniMap_Icon4	Talimu_Hover	野外场景#r怪物等级100-105#r怪物种类：#r食腐鸟、沙漠野人#r沙尘、沙漠鬣狗#r沙漠战士、沙漠巫师，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参、#r胭脂鱼（47，193）、#r翘嘴红鮊（50，190）。	0.15;0.1
248	昆仑山	256	256	kunlunshan.Scene	kunlunshan.path	kunlunshan.wCollision	kunlunshan.jpg	112	60000	kunlunshan	66	422	66	446	15000	10	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon4	Kunlunshan_Hover	野外场景#r怪物等级105-110#r怪物种类：#r仙鹿、灵鹤#r开明兽、小道童#r彩云仙、灵剑士，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参。	0.15;0.1
249	大宛	256	256	dawan.Scene	dawan.path	dawan.wCollision	dawan.jpg	2038	60000	dawan	54	286	54	305	15000	10	Sign3	MiniMap_Icon4	Dawan_Normal	MiniMap_Icon4	Dawan_Hover	野外场景#r怪物等级105-110#r怪物种类：#r大宛马、马场守卫#r驯马师、辽国战士#r辽国萨满，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参、#r胭脂鱼（130，75）、#r翘嘴红鮊（124，123）。	0.15;0.1
250	撒马尔罕	256	256	samaerhan.Scene	samaerhan.path	samaerhan.wCollision	samaerhan.jpg	2100	60000	samaerhan	80	191	80	219	15000	10	Sign49	MiniMap_Icon4	Samaerhan_Normal	MiniMap_Icon4	Samaerhan_Hover	野外场景#r怪物等级105-110#r怪物种类：#r拜火使者、火精灵#r火焰武士、拜火祭司#r三头犬、沁水驮兽，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参。	0.15;0.1
251	火焰谷	128	128	huoyangu.Scene	huoyangu.path	huoyangu.wCollision	huoyangu.jpg	122	60000	huoyangu	291	235	291	223	15000	10	Sign19	MiniMap_Icon5	Huoyangu_Normal	MiniMap_Icon5	Huoyangu_Hover	由火焰山进入#r怪物等级90-95#r怪物种类：#r西域马匪、荒原蝎、#r北方盗贼、翼牛、#r北方强盗、铁翼牛。	0.15;0.1
252	高昌迷宫	128	128	gaochangmigong.Scene	gaochangmigong.path	gaochangmigong.wCollision	gaochangmigong.jpg	122	60000	gaochangmigong	244	317	257	329	15000	10	Sign19	MiniMap_Icon5	Gaochangmigong_Normal	MiniMap_Icon5	Gaochangmigong_Hover	由高昌进入#r怪物等级95-100#r怪物种类：#r废墟恐蝎、骷髅兵、#r西域萨满、西域巫医、#r西域窃贼、西域劫匪。	0.15;0.1
253	塔克拉玛干	128	128	takelamagan.Scene	takelamagan.path	takelamagan.wCollision	takelamagan.jpg	122	60000	takelamagan	135	375	157	362	15000	10	Sign19	MiniMap_Icon5	Takelamagan_Normal	MiniMap_Icon5	Takelamagan_Hover	由塔里木进入#r怪物等级100-105#r怪物种类：#r食腐鸟、沙漠野人#r沙尘、沙漠鬣狗#r沙漠战士、沙漠巫师。	0.15;0.1
254	昆仑福地	128	128	kunlunfudi.Scene	kunlunfudi.path	kunlunfudi.wCollision	kunlunfudi.jpg	494	60000	kunlunfudi	105	424	119	438	15000	10	Sign19	MiniMap_Icon5	Takelamagan_Normal	MiniMap_Icon5	Kunlunfudi_Hover	由昆仑山进入#r怪物等级105-110#r怪物种类：#r仙鹿、灵鹤#r开明兽、小道童#r彩云仙、灵剑士。	0.15;0.1
255	汗血岭	128	128	hanxieling.Scene	hanxieling.path	hanxieling.wCollision	hanxieling.jpg	2038	60000	hanxieling	31	287	21	302	15000	10	Sign19	MiniMap_Icon5	Hanxieling_Normal	MiniMap_Icon5	Hanxieling_Hover	由大宛进入#r怪物等级105-110#r怪物种类：#r大宛马、马场守卫#r驯马师、辽国战士#r辽国萨满。	0.15;0.1
256	圣火宫	128	128	shenghuogong.Scene	shenghuogong.path	shenghuogong.wCollision	shenghuogong.jpg	2101	60000	shenghuogong	103	182	113	194	15000	10	Sign53	MiniMap_Icon5	Shenghuogong_Normal	MiniMap_Icon5	Shenghuogong_Hover	由撒马尔罕进入#r怪物等级105-110#r怪物种类：#r拜火使者、火精灵#r火焰武士、拜火祭司#r三头犬、沁水驮兽。	0.15;0.1
257	足球场	96	96	zuqiuchang.scene	zuqiuchang.path	zuqiuchang.wCollision	zuqiuchang.jpg	122	60000	zuqiuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	足球场	0.15;0.1
258	篮球场	96	96	lanqiuchang.scene	lanqiuchang.path	lanqiuchang.wCollision	lanqiuchang.jpg	122	60000	lanqiuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	篮球场	0.15;0.1
259	排球场	96	96	paiqiuchang.scene	paiqiuchang.path	paiqiuchang.wCollision	paiqiuchang.jpg	122	60000	paiqiuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	排球场	0.15;0.1
260	束河古镇	320	320	shuhe.scene	shuhe.path	shuhe.wCollision	shuhe.jpg	2034	60000	shuhe	217	630	217	656	15000	10	Sign54	MiniMap_Icon5	Suheguzhen_Normal	MiniMap_Icon5	Suheguzhen_Hover	束河古镇	0.15;0.1
261	缥缈峰	192	192	piaomiao.scene	piaomiao.path	piaomiao.wCollision	piaomiao.jpg	2037	30000	piaomiao	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	缥缈峰	0.15;0.1
262	秦皇地宫一层	256	256	qinhuanggong_1.scene	qinhuanggong_1.path	qinhuanggong_1.wCollision	qinhuanggong_1.jpg	146	60000	qinhuanggong_1	404	338	404	370	15000	10	Sign55	MiniMap_Icon5	qinhuanggong_Normal	MiniMap_Icon5	qinhuanggong_Hover	秦皇地宫#r野外场景#r怪物等级：65-82#r怪物种类：#r盗墓贼、墓穴甲虫、地宫工匠、幽禁守卫、秦皇精兵俑、地宫幽灵、机关石人、幽灵祭祀、秦将护卫、秦将侍卫、机关守卫、秦皇之魄。	0.15;0.1
263	秦皇地宫二层	256	256	qinhuanggong_2.scene	qinhuanggong_2.path	qinhuanggong_2.wCollision	qinhuanggong_2.jpg	147	60000	qinhuanggong_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	秦皇地宫二层	0.15;0.1
264	秦皇地宫三层	256	256	qinhuanggong_3.scene	qinhuanggong_3.path	qinhuanggong_3.wCollision	qinhuanggong_3.jpg	2099	60000	qinhuanggong_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	秦皇地宫三层	0.15;0.1
265	玄雷坡	256	256	xuanmuchang.Scene	xuanmuchang.path	xuanmuchang.WCollision	xuanmuchang.jpg	142	60000	xuanmuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玄雷坡	0.15;0.1
266	毒障泽地	256	256	dumuchang.Scene	dumuchang.path	dumuchang.WCollision	dumuchang.jpg	143	60000	dumuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	毒障泽地	0.15;0.1
267	熔岩之地	256	256	huomuchang.Scene	huomuchang.path	huomuchang.WCollision	huomuchang.jpg	146	60000	huomuchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	熔岩之地	0.15;0.1
268	玄武岛	320	320	petisland_3.Scene	petisland_3.path	petisland_3.WCollision	petisland_3.jpg	116	60000	petisland_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玄武岛	0.15;0.1
269	楼兰藏宝洞	128	128	loulanxunbao.Scene	loulanxunbao.path	loulanxunbao.WCollision	loulanxunbao.jpg	120	60000	loulanxunbao	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	楼兰藏宝洞	0.15;0.1
270	涿鹿	256	256	zhuluKVK.Scene	zhuluKVK.path	zhuluKVK.WCollision	zhuluKVK.jpg	506	60000	zhuluKVK	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	缥缈峰	0.15;0.1
271	亮马驿	64	64	qijvxiuxi_5.Scene	qijvxiuxi_5.path	qijvxiuxi_5.WCollision	qijvxiuxi_5.jpg	18	60000	qijvxiuxi_5	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	亮马驿	0.15;0.1
272	藏经阁	128	128	cangjingge.Scene	cangjingge.path	cangjingge.WCollision	cangjingge.jpg	142	60000	cangjingge	0	0	0	0	15000	10	Sign2	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	Cangjingge_Hover	藏经阁	0.15;0.1
273	天劫楼一层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼一层	0.15;0.1
274	天劫楼二层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼二层	0.15;0.1
275	天劫楼三层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼三层	0.15;0.1
276	天劫楼四层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼四层	0.15;0.1
277	天劫楼五层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼五层	0.15;0.1
278	天劫楼六层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼六层	0.15;0.1
279	天劫楼七层	96	96	Tianjielou_7.Scene	Tianjielou_7.path	Tianjielou_7.WCollision	Tianjielou_7.jpg	2087	60000	Tianjielou_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	天劫楼七层	0.15;0.1
280	凤凰古城	320	320	PhoenixPlain.Scene	PhoenixPlain.path	PhoenixPlain.WCollision	PhoenixPlain.jpg	2088	60000	PhoenixPlain	465	574	465	601	15000	10	Sign15	MiniMap_Icon3	FengHuangGuZhen_Normal	MiniMap_Icon3	FengHuangGuZhen_Normal	凤凰古城	0.15;0.1
281	凤凰陵墓	128	128	PhoenixMaze.Scene	PhoenixMaze.path	PhoenixMaze.WCollision	PhoenixMaze.jpg	2089	60000	PhoenixMaze	0	0	0	0	15000	10	Sign2	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	凤凰陵墓	0.15;0.1
282	清源	320	320	quanzhou.scene	quanzhou.path	quanzhou.wCollision	quanzhou.jpg	2097	60000	quanzhou	838	654	847	635	15000	10	Sign3	MiniMap_Icon5	Qingyuan_Normal	MiniMap_Icon5	Qingyuan_Hover	野外场景#r怪物等级45-57#r怪物种类：#r迎客毛贼、黑猿、巨蝎、#r锦衣乞丐、花酒和尚、#r妖邪蜘蛛、蟾蜍怪，#r生活原材料分布（7级）：#r水晶矿矿脉、#r当归、桂心、香附	0.15;0.1
283	清源山洞	256	256	quanzhoushandong.scene	quanzhoushandong.path	quanzhoushandong.wCollision	quanzhoushandong.jpg	2098	60000	quanzhoushandong	843	666	841	681	15000	10	Sign19	MiniMap_Icon5	Qingyuanshandong_Normal	MiniMap_Icon5	Qingyuanshandong_Hover	由清源进入#r怪物等级58-60#r怪物种类：#r锦衣乞丐、花酒和尚、文武状元。	0.15;0.1
290	华山之巅	128	128	huashanzhidian.scene	huashanzhidian.path	huashanzhidian.wCollision	huashanzhidian.jpg	2103	60000	huashanzhidian	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	华山之巅	0.15;0.1
292	秦皇地宫四层	256	256	qinhuanggong_4.Scene	qinhuanggong_4.path	qinhuanggong_4.wCollision	qinhuanggong_4.jpg	148	60000	qinhuanggong_4	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	秦皇地宫三层	0.15;0.1
501	塞外 1	192	192	塞外 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign2	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
502	塞外 2	192	192	塞外 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign3	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
503	塞外 3	192	192	塞外 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign4	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
504	塞外 4	192	192	塞外 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign5	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
505	塞外 5	192	192	塞外 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign6	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
506	岭南 1	192	192	岭南 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign7	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
507	岭南 2	192	192	岭南 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign8	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
508	岭南 3	192	192	岭南 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign9	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
509	岭南 4	192	192	岭南 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign10	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
510	岭南 5	192	192	岭南 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
511	杭州 1	192	192	杭州 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign12	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
512	杭州 2	192	192	杭州 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign13	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
513	杭州 3	192	192	杭州 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign14	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
514	杭州 4	192	192	杭州 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign15	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
515	杭州 5	192	192	杭州 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign16	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
516	海口 1	192	192	海口 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign17	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
517	海口 2	192	192	海口 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign18	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
518	海口 3	192	192	海口 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign19	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
519	海口 4	192	192	海口 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign20	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
520	海口 5	192	192	海口 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	15000	10	Sign21	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.15;0.1
