INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
267	70502063	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502064	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1869#W; #GM®nh Trung +2411#W; #GLinh Khí +92#W; #GTh¯ng Kích kÛ nång phóng thích Th¶i thêm vào gia tång nµi công công kích(5Tinh sáo trang hi®u quä)#W.
268	70502065	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502066	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #GLinh Khí +37#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
269	70502066	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502067	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #GLinh Khí +55#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
270	70502067	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502068	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #GLinh Khí +74#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
271	70502068	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502069	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #GLinh Khí +92#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
272	70502070	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502071	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #GLinh Khí +37#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
273	70502071	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502072	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #GLinh Khí +55#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
274	70502072	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502073	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #GLinh Khí +74#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
275	70502073	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502074	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #GLinh Khí +92#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
276	70502075	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502076	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +738#W; #Gnµi công phòng ngñ +738#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
277	70502076	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502077	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1107#W; #Gnµi công phòng ngñ +1107#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
278	70502077	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502078	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1476#W; #Gnµi công phòng ngñ +1476#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
279	70502078	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502079	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1845#W; #Gnµi công phòng ngñ +1845#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
280	70502080	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502081	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +37#W; #GM®nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
281	70502081	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502082	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +55#W; #GM®nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
282	70502082	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502083	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +74#W; #GM®nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
283	70502083	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502084	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +92#W; #GM®nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
284	70502085	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502086	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #Gthân pháp +37#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
285	70502086	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502087	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #Gthân pháp +55#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
286	70502087	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502088	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #Gthân pháp +74#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
287	70502088	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502089	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #Gthân pháp +92#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
288	70502090	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502091	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +832#W; #GM®nh Trung +1071#W; #Glñc lßþng +41#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(2Tinh sáo trang hi®u quä)#W.
289	70502091	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502092	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1248#W; #GM®nh Trung +1606#W; #Glñc lßþng +61#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(3Tinh sáo trang hi®u quä)#W.
290	70502092	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502093	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1663#W; #GM®nh Trung +2141#W; #Glñc lßþng +82#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(4Tinh sáo trang hi®u quä)#W.
291	70502093	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502094	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +2079#W; #GM®nh Trung +2676#W; #Glñc lßþng +102#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(5Tinh sáo trang hi®u quä)#W.
292	70502095	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502096	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #Glñc lßþng +41#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
293	70502096	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502097	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #Glñc lßþng +61#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
294	70502097	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502098	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #Glñc lßþng +82#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
295	70502098	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502099	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #Glñc lßþng +102#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
296	70502100	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502101	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #Glñc lßþng +41#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
297	70502101	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502102	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #Glñc lßþng +61#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
298	70502102	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502103	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #Glñc lßþng +82#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
299	70502103	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502104	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #Glñc lßþng +102#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
300	70502105	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502106	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +832#W; #GM®nh Trung +1071#W; #GLinh Khí +41#W; #Ggia tång Li®t Hoä Chú, Huy«n Lôi Chú, Huyªt Ðµc Chú, Hàn Bång Chú kÛ nång Ðích phóng thích tÖ l®(2Tinh sáo trang hi®u quä)#W.
301	70502106	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502107	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1248#W; #GM®nh Trung +1606#W; #GLinh Khí +61#W; #Ggia tång Li®t Hoä Chú, Huy«n Lôi Chú, Huyªt Ðµc Chú, Hàn Bång Chú kÛ nång Ðích phóng thích tÖ l®(3Tinh sáo trang hi®u quä)#W.
302	70502107	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502108	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1663#W; #GM®nh Trung +2141#W; #GLinh Khí +82#W; #Ggia tång Li®t Hoä Chú, Huy«n Lôi Chú, Huyªt Ðµc Chú, Hàn Bång Chú kÛ nång Ðích phóng thích tÖ l®(4Tinh sáo trang hi®u quä)#W.
303	70502108	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502109	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +2079#W; #GM®nh Trung +2676#W; #GLinh Khí +102#W; #Ggia tång Li®t Hoä Chú, Huy«n Lôi Chú, Huyªt Ðµc Chú, Hàn Bång Chú kÛ nång Ðích phóng thích tÖ l®(5Tinh sáo trang hi®u quä)#W.
304	70502110	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502111	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #GLinh Khí +41#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
305	70502111	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502112	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #GLinh Khí +61#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
306	70502112	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502113	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #GLinh Khí +82#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
307	70502113	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502114	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #GLinh Khí +102#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
308	70502115	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502116	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #GLinh Khí +41#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
309	70502116	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502117	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #GLinh Khí +61#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
310	70502117	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502118	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #GLinh Khí +82#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
311	70502118	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502119	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #GLinh Khí +102#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
312	70502120	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502121	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +821#W; #Gnµi công phòng ngñ +821#W; #GHuyªt Thßþng HÕn +1528#W; #Ggia tång Linh Khí kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
313	70502121	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502122	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1232#W; #Gnµi công phòng ngñ +1232#W; #GHuyªt Thßþng HÕn +2292#W; #Ggia tång Linh Khí kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
314	70502122	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502123	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1642#W; #Gnµi công phòng ngñ +1642#W; #GHuyªt Thßþng HÕn +3056#W; #Ggia tång Linh Khí kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
315	70502123	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502124	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +2053#W; #Gnµi công phòng ngñ +2053#W; #GHuyªt Thßþng HÕn +3820#W; #Ggia tång Linh Khí kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
316	70502125	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502126	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +41#W; #GM®nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
317	70502126	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502127	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +61#W; #GM®nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
318	70502127	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502128	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +82#W; #GM®nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
319	70502128	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502129	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +102#W; #GM®nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
320	70502130	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70502131	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #Gthân pháp +41#W; #GHuyªt Thßþng HÕn +1528#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
321	70502131	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70502132	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #Gthân pháp +61#W; #GHuyªt Thßþng HÕn +2292#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
322	70502132	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70502133	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #Gthân pháp +82#W; #GHuyªt Thßþng HÕn +3056#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
323	70502133	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70502134	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #Gthân pháp +102#W; #GHuyªt Thßþng HÕn +3820#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
324	70503000	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70503001	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +664#W; #GM®nh Trung +859#W; #Glñc lßþng +33#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(2Tinh sáo trang hi®u quä)#W.
325	70503001	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70503002	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +996#W; #GM®nh Trung +1288#W; #Glñc lßþng +49#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(3Tinh sáo trang hi®u quä)#W.
326	70503002	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70503003	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1327#W; #GM®nh Trung +1717#W; #Glñc lßþng +66#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(4Tinh sáo trang hi®u quä)#W.
