INT	INT	INT	INT	STRING
111	3	4	1	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF001%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
112	3	4	2	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
113	3	4	3	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
114	3	4	4	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
115	3	4	5	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
116	3	4	6	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
117	3	4	7	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
118	3	4	8	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
119	3	4	9	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
120	3	4	10	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
